"","dateTime","spotID","readingType","lat","long","NA","NA"
"123","9/28/2016 06:45","0-2572498","UNLIMITED-TRACK",33.96885,-120.87064,NA,""
"132","9/28/2016 06:14","0-2572498","UNLIMITED-TRACK",33.96976,-120.87038,NA,""
"141","9/28/2016 05:45","0-2572498","UNLIMITED-TRACK",33.97073,-120.8699,NA,""
"151","9/28/2016 05:14","0-2572498","UNLIMITED-TRACK",33.97224,-120.86911,NA,""
"161","9/28/2016 04:46","0-2572498","UNLIMITED-TRACK",33.97379,-120.8683,NA,""
"170","9/28/2016 04:16","0-2572498","UNLIMITED-TRACK",33.97529,-120.86753,NA,""
"180","9/28/2016 03:46","0-2572498","UNLIMITED-TRACK",33.9768,-120.86647,NA,""
"189","9/28/2016 03:15","0-2572498","UNLIMITED-TRACK",33.97827,-120.86577,NA,""
"198","9/28/2016 02:46","0-2572498","UNLIMITED-TRACK",33.97965,-120.86525,NA,""
"207","9/28/2016 02:15","0-2572498","UNLIMITED-TRACK",33.98111,-120.86478,NA,""
"218","9/28/2016 01:46","0-2572498","UNLIMITED-TRACK",33.98251,-120.86423,NA,""
"227","9/28/2016 01:15","0-2572498","UNLIMITED-TRACK",33.98441,-120.86356,NA,""
"235","9/28/2016 00:46","0-2572498","UNLIMITED-TRACK",33.9863,-120.86313,NA,""
"244","9/28/2016 00:16","0-2572498","UNLIMITED-TRACK",33.9883,-120.86287,NA,""
"253","9/27/2016 23:46","0-2572498","UNLIMITED-TRACK",33.99001,-120.86261,NA,""
"263","9/27/2016 23:16","0-2572498","UNLIMITED-TRACK",33.99142,-120.86217,NA,""
"273","9/27/2016 22:46","0-2572498","UNLIMITED-TRACK",33.99276,-120.86201,NA,""
"283","9/27/2016 22:16","0-2572498","UNLIMITED-TRACK",33.99445,-120.86154,NA,""
"292","9/27/2016 21:46","0-2572498","UNLIMITED-TRACK",33.9961,-120.8607,NA,""
"302","9/27/2016 21:17","0-2572498","UNLIMITED-TRACK",33.99767,-120.85989,NA,""
"312","9/27/2016 20:47","0-2572498","UNLIMITED-TRACK",33.99926,-120.8591,NA,""
"322","9/27/2016 20:16","0-2572498","UNLIMITED-TRACK",34.00092,-120.8588,NA,""
"331","9/27/2016 19:47","0-2572498","UNLIMITED-TRACK",34.00248,-120.85852,NA,""
"344","9/27/2016 19:17","0-2572498","UNLIMITED-TRACK",34.00366,-120.85858,NA,""
"356","9/27/2016 18:47","0-2572498","UNLIMITED-TRACK",34.00443,-120.85916,NA,""
"370","9/27/2016 18:16","0-2572498","UNLIMITED-TRACK",34.00509,-120.85976,NA,""
"384","9/27/2016 17:47","0-2572498","UNLIMITED-TRACK",34.00576,-120.86032,NA,""
"399","9/27/2016 17:17","0-2572498","UNLIMITED-TRACK",34.00666,-120.86076,NA,""
"414","9/27/2016 16:47","0-2572498","UNLIMITED-TRACK",34.0078,-120.86101,NA,""
"428","9/27/2016 16:17","0-2572498","UNLIMITED-TRACK",34.00891,-120.86137,NA,""
"445","9/27/2016 15:48","0-2572498","UNLIMITED-TRACK",34.00998,-120.86151,NA,""
"461","9/27/2016 15:17","0-2572498","UNLIMITED-TRACK",34.0112,-120.86154,NA,""
"476","9/27/2016 14:48","0-2572498","UNLIMITED-TRACK",34.01256,-120.8614,NA,""
"492","9/27/2016 14:18","0-2572498","UNLIMITED-TRACK",34.01376,-120.86119,NA,""
"508","9/27/2016 13:48","0-2572498","UNLIMITED-TRACK",34.01531,-120.86021,NA,""
