"","dateTime","spotID","readingType","lat","long","NA","NA"
"1","9/28/2016 22:09","0-2573529","UNLIMITED-TRACK",33.73105,-120.94945,NA,""
"2","9/28/2016 21:57","0-2571969","UNLIMITED-TRACK",33.73135,-120.94728,NA,""
"3","9/28/2016 21:40","0-2573529","UNLIMITED-TRACK",33.73068,-120.94391,NA,""
"4","9/28/2016 21:27","0-2571969","UNLIMITED-TRACK",33.73037,-120.94119,NA,""
"5","9/28/2016 21:09","0-2573529","UNLIMITED-TRACK",33.73017,-120.93723,NA,""
"6","9/28/2016 20:59","0-2571969","UNLIMITED-TRACK",33.73021,-120.93506,NA,""
"7","9/28/2016 20:40","0-2573529","UNLIMITED-TRACK",33.73019,-120.93091,NA,""
"8","9/28/2016 20:27","0-2571969","UNLIMITED-TRACK",33.73022,-120.92825,NA,""
"9","9/28/2016 20:09","0-2573529","UNLIMITED-TRACK",33.73037,-120.92419,NA,""
"10","9/28/2016 19:57","0-2571969","UNLIMITED-TRACK",33.73039,-120.92136,NA,""
"12","9/28/2016 19:40","0-2573529","UNLIMITED-TRACK",33.7307,-120.91739,NA,""
"14","9/28/2016 19:29","0-2571969","UNLIMITED-TRACK",33.73103,-120.91501,NA,""
"16","9/28/2016 19:10","0-2573529","UNLIMITED-TRACK",33.73148,-120.91083,NA,""
"18","9/28/2016 18:59","0-2571969","UNLIMITED-TRACK",33.73202,-120.9084,NA,""
"20","9/28/2016 18:40","0-2573529","UNLIMITED-TRACK",33.73294,-120.90546,NA,""
"21","9/28/2016 18:27","0-2571969","UNLIMITED-TRACK",33.73354,-120.90327,NA,""
"23","9/28/2016 18:10","0-2573529","UNLIMITED-TRACK",33.73422,-120.90033,NA,""
"25","9/28/2016 18:00","0-2571969","UNLIMITED-TRACK",33.73457,-120.8989,NA,""
"27","9/28/2016 17:41","0-2573529","UNLIMITED-TRACK",33.73511,-120.89687,NA,""
"29","9/28/2016 17:28","0-2571969","UNLIMITED-TRACK",33.73585,-120.89539,NA,""
"31","9/28/2016 17:11","0-2573529","UNLIMITED-TRACK",33.73679,-120.89415,NA,""
"33","9/28/2016 16:58","0-2571969","UNLIMITED-TRACK",33.73774,-120.89323,NA,""
"35","9/28/2016 16:42","0-2573529","UNLIMITED-TRACK",33.73865,-120.89218,NA,""
"37","9/28/2016 16:30","0-2571969","UNLIMITED-TRACK",33.73958,-120.89108,NA,""
"39","9/28/2016 16:11","0-2573529","UNLIMITED-TRACK",33.7411,-120.88966,NA,""
"41","9/28/2016 16:00","0-2571969","UNLIMITED-TRACK",33.74203,-120.88876,NA,""
"43","9/28/2016 15:42","0-2573529","UNLIMITED-TRACK",33.7431,-120.88768,NA,""
"45","9/28/2016 15:32","0-2571969","UNLIMITED-TRACK",33.7437,-120.88684,NA,""
"47","9/28/2016 15:12","0-2573529","UNLIMITED-TRACK",33.74448,-120.8851,NA,""
"48","9/28/2016 15:02","0-2571969","UNLIMITED-TRACK",33.74511,-120.88377,NA,""
"50","9/28/2016 14:42","0-2573529","UNLIMITED-TRACK",33.7458,-120.88147,NA,""
"52","9/28/2016 14:30","0-2571969","UNLIMITED-TRACK",33.74637,-120.8797,NA,""
"54","9/28/2016 14:12","0-2573529","UNLIMITED-TRACK",33.74699,-120.87753,NA,""
"56","9/28/2016 14:00","0-2571969","UNLIMITED-TRACK",33.74727,-120.87549,NA,""
"58","9/28/2016 13:43","0-2573529","UNLIMITED-TRACK",33.7475,-120.87334,NA,""
"60","9/28/2016 13:30","0-2571969","UNLIMITED-TRACK",33.74782,-120.87137,NA,""
"62","9/28/2016 13:13","0-2573529","UNLIMITED-TRACK",33.74877,-120.86821,NA,""
"65","9/28/2016 12:44","0-2573529","UNLIMITED-TRACK",33.75026,-120.86365,NA,""
"66","9/28/2016 12:31","0-2571969","UNLIMITED-TRACK",33.7507,-120.86208,NA,""
"68","9/28/2016 12:14","0-2573529","UNLIMITED-TRACK",33.75095,-120.85963,NA,""
"69","9/28/2016 11:58","0-2571969","UNLIMITED-TRACK",33.75106,-120.85725,NA,""
"71","9/28/2016 11:44","0-2573529","UNLIMITED-TRACK",33.75146,-120.85477,NA,""
"73","9/28/2016 11:32","0-2571969","UNLIMITED-TRACK",33.75185,-120.85252,NA,""
"75","9/28/2016 11:14","0-2573529","UNLIMITED-TRACK",33.75216,-120.8494,NA,""
"77","9/28/2016 10:45","0-2573529","UNLIMITED-TRACK",33.75266,-120.84418,NA,""
"78","9/28/2016 10:32","0-2571969","UNLIMITED-TRACK",33.75293,-120.84244,NA,""
"80","9/28/2016 10:15","0-2573529","UNLIMITED-TRACK",33.7533,-120.83969,NA,""
"81","9/28/2016 10:02","0-2571969","UNLIMITED-TRACK",33.75336,-120.83729,NA,""
"84","9/28/2016 09:45","0-2573529","UNLIMITED-TRACK",33.7532,-120.83498,NA,""
"86","9/28/2016 09:33","0-2571969","UNLIMITED-TRACK",33.75306,-120.83296,NA,""
"89","9/28/2016 09:15","0-2573529","UNLIMITED-TRACK",33.75263,-120.83005,NA,""
"93","9/28/2016 08:46","0-2573529","UNLIMITED-TRACK",33.75247,-120.82498,NA,""
"96","9/28/2016 08:29","0-2571969","UNLIMITED-TRACK",33.75297,-120.82182,NA,""
"99","9/28/2016 08:16","0-2573529","UNLIMITED-TRACK",33.75333,-120.81935,NA,""
"103","9/28/2016 07:59","0-2571969","UNLIMITED-TRACK",33.75326,-120.81688,NA,""
"106","9/28/2016 07:47","0-2573529","UNLIMITED-TRACK",33.75348,-120.81502,NA,""
"110","9/28/2016 07:29","0-2571969","UNLIMITED-TRACK",33.75365,-120.8131,NA,""
"114","9/28/2016 07:16","0-2573529","UNLIMITED-TRACK",33.75404,-120.81107,NA,""
"117","9/28/2016 07:02","0-2571969","UNLIMITED-TRACK",33.75436,-120.80936,NA,""
"122","9/28/2016 06:47","0-2573529","UNLIMITED-TRACK",33.75472,-120.80734,NA,""
"127","9/28/2016 06:30","0-2571969","UNLIMITED-TRACK",33.75503,-120.80544,NA,""
"131","9/28/2016 06:17","0-2573529","UNLIMITED-TRACK",33.75531,-120.80414,NA,""
"135","9/28/2016 06:04","0-2571969","UNLIMITED-TRACK",33.7555,-120.80309,NA,""
"140","9/28/2016 05:47","0-2573529","UNLIMITED-TRACK",33.75595,-120.80188,NA,""
"146","9/28/2016 05:30","0-2571969","UNLIMITED-TRACK",33.75634,-120.80063,NA,""
"150","9/28/2016 05:17","0-2573529","UNLIMITED-TRACK",33.75657,-120.7998,NA,""
"156","9/28/2016 05:00","0-2571969","UNLIMITED-TRACK",33.75694,-120.79909,NA,""
"160","9/28/2016 04:48","0-2573529","UNLIMITED-TRACK",33.75735,-120.79839,NA,""
"164","9/28/2016 04:32","0-2571969","UNLIMITED-TRACK",33.75793,-120.79749,NA,""
"169","9/28/2016 04:17","0-2573529","UNLIMITED-TRACK",33.75856,-120.79662,NA,""
"175","9/28/2016 04:00","0-2571969","UNLIMITED-TRACK",33.75938,-120.79559,NA,""
"178","9/28/2016 03:48","0-2573529","UNLIMITED-TRACK",33.75984,-120.79495,NA,""
"184","9/28/2016 03:30","0-2571969","UNLIMITED-TRACK",33.76051,-120.79393,NA,""
"188","9/28/2016 03:18","0-2573529","UNLIMITED-TRACK",33.76091,-120.79341,NA,""
"193","9/28/2016 03:03","0-2571969","UNLIMITED-TRACK",33.76135,-120.79285,NA,""
"197","9/28/2016 02:48","0-2573529","UNLIMITED-TRACK",33.76162,-120.7924,NA,""
"201","9/28/2016 02:33","0-2571969","UNLIMITED-TRACK",33.76175,-120.79182,NA,""
"206","9/28/2016 02:18","0-2573529","UNLIMITED-TRACK",33.76181,-120.79115,NA,""
"210","9/28/2016 02:03","0-2571969","UNLIMITED-TRACK",33.76196,-120.79024,NA,""
"216","9/28/2016 01:49","0-2573529","UNLIMITED-TRACK",33.76207,-120.78902,NA,""
"221","9/28/2016 01:33","0-2571969","UNLIMITED-TRACK",33.7621,-120.78761,NA,""
"226","9/28/2016 01:18","0-2573529","UNLIMITED-TRACK",33.76213,-120.78653,NA,""
"230","9/28/2016 01:03","0-2571969","UNLIMITED-TRACK",33.7621,-120.78521,NA,""
"234","9/28/2016 00:49","0-2573529","UNLIMITED-TRACK",33.76215,-120.7841,NA,""
"239","9/28/2016 00:32","0-2571969","UNLIMITED-TRACK",33.76215,-120.78238,NA,""
"242","9/28/2016 00:19","0-2573529","UNLIMITED-TRACK",33.76206,-120.78104,NA,""
"247","9/28/2016 00:04","0-2571969","UNLIMITED-TRACK",33.76206,-120.77898,NA,""
"252","9/27/2016 23:49","0-2573529","UNLIMITED-TRACK",33.76193,-120.77701,NA,""
"259","9/27/2016 23:31","0-2571969","UNLIMITED-TRACK",33.76155,-120.77408,NA,""
"261","9/27/2016 23:19","0-2573529","UNLIMITED-TRACK",33.76123,-120.77254,NA,""
"268","9/27/2016 23:01","0-2571969","UNLIMITED-TRACK",33.76063,-120.76996,NA,""
"271","9/27/2016 22:50","0-2573529","UNLIMITED-TRACK",33.76027,-120.76848,NA,""
"277","9/27/2016 22:34","0-2571969","UNLIMITED-TRACK",33.75944,-120.76627,NA,""
"281","9/27/2016 22:21","0-2573529","UNLIMITED-TRACK",33.75872,-120.76424,NA,""
"287","9/27/2016 22:01","0-2571969","UNLIMITED-TRACK",33.75771,-120.76112,NA,""
"290","9/27/2016 21:51","0-2573529","UNLIMITED-TRACK",33.7572,-120.75929,NA,""
"297","9/27/2016 21:32","0-2571969","UNLIMITED-TRACK",33.7564,-120.7558,NA,""
"300","9/27/2016 21:20","0-2573529","UNLIMITED-TRACK",33.75601,-120.75371,NA,""
"307","9/27/2016 21:04","0-2571969","UNLIMITED-TRACK",33.75542,-120.75082,NA,""
