"","dateTime","spotID","readingType","lat","long","NA","NA"
"82","9/28/2016 10:00","0-2571714","UNLIMITED-TRACK",34.24002,-120.95419,NA,""
"87","9/28/2016 09:29","0-2571714","UNLIMITED-TRACK",34.23979,-120.95641,NA,""
"91","9/28/2016 09:00","0-2571714","UNLIMITED-TRACK",34.2394,-120.95842,NA,""
"95","9/28/2016 08:30","0-2571714","UNLIMITED-TRACK",34.2387,-120.96062,NA,""
"102","9/28/2016 08:01","0-2571714","UNLIMITED-TRACK",34.23786,-120.96259,NA,""
"109","9/28/2016 07:30","0-2571714","UNLIMITED-TRACK",34.23732,-120.9648,NA,""
"118","9/28/2016 07:01","0-2571714","UNLIMITED-TRACK",34.23634,-120.96686,NA,""
"126","9/28/2016 06:30","0-2571714","UNLIMITED-TRACK",34.23484,-120.96809,NA,""
"136","9/28/2016 06:01","0-2571714","UNLIMITED-TRACK",34.23371,-120.97009,NA,""
"144","9/28/2016 05:33","0-2572044","UNLIMITED-TRACK",34.23182,-120.972,NA,""
"145","9/28/2016 05:30","0-2571714","UNLIMITED-TRACK",34.23249,-120.97166,NA,""
"154","9/28/2016 05:03","0-2572044","UNLIMITED-TRACK",34.2306,-120.97363,NA,""
"155","9/28/2016 05:01","0-2571714","UNLIMITED-TRACK",34.23155,-120.97298,NA,""
"165","9/28/2016 04:31","0-2571714","UNLIMITED-TRACK",34.23134,-120.97453,NA,""
"173","9/28/2016 04:03","0-2572044","UNLIMITED-TRACK",34.22948,-120.96908,NA,""
"174","9/28/2016 04:02","0-2571714","UNLIMITED-TRACK",34.23159,-120.9761,NA,""
"183","9/28/2016 03:31","0-2571714","UNLIMITED-TRACK",34.23254,-120.97812,NA,""
"192","9/28/2016 03:04","0-2572044","UNLIMITED-TRACK",34.23137,-120.97333,NA,""
"194","9/28/2016 03:02","0-2571714","UNLIMITED-TRACK",34.23415,-120.98067,NA,""
"202","9/28/2016 02:32","0-2571714","UNLIMITED-TRACK",34.23612,-120.98372,NA,""
"211","9/28/2016 02:02","0-2571714","UNLIMITED-TRACK",34.2379,-120.98703,NA,""
"212","9/28/2016 02:01","0-2572044","UNLIMITED-TRACK",34.23797,-120.98721,NA,""
"222","9/28/2016 01:32","0-2571714","UNLIMITED-TRACK",34.2392,-120.9902,NA,""
"231","9/28/2016 01:03","0-2571714","UNLIMITED-TRACK",34.23981,-120.9929,NA,""
"238","9/28/2016 00:32","0-2571714","UNLIMITED-TRACK",34.24006,-120.99545,NA,""
"248","9/28/2016 00:03","0-2571714","UNLIMITED-TRACK",34.24019,-120.99756,NA,""
"256","9/27/2016 23:33","0-2571714","UNLIMITED-TRACK",34.23993,-120.99979,NA,""
"257","9/27/2016 23:32","0-2572044","UNLIMITED-TRACK",34.23994,-120.99986,NA,""
"266","9/27/2016 23:05","0-2572044","UNLIMITED-TRACK",34.23942,-121.00171,NA,""
"267","9/27/2016 23:03","0-2571714","UNLIMITED-TRACK",34.23938,-121.00182,NA,""
"276","9/27/2016 22:36","0-2572044","UNLIMITED-TRACK",34.23893,-121.00336,NA,""
"278","9/27/2016 22:33","0-2571714","UNLIMITED-TRACK",34.23892,-121.00351,NA,""
"286","9/27/2016 22:04","0-2571714","UNLIMITED-TRACK",34.23857,-121.00525,NA,""
"295","9/27/2016 21:33","0-2571714","UNLIMITED-TRACK",34.23823,-121.0076,NA,""
"296","9/27/2016 21:32","0-2572044","UNLIMITED-TRACK",34.23819,-121.00769,NA,""
"305","9/27/2016 21:04","0-2572044","UNLIMITED-TRACK",34.23793,-121.00998,NA,""
"306","9/27/2016 21:04","0-2571714","UNLIMITED-TRACK",34.23792,-121.01003,NA,""
"315","9/27/2016 20:36","0-2572044","UNLIMITED-TRACK",34.23724,-121.01225,NA,""
"316","9/27/2016 20:33","0-2571714","UNLIMITED-TRACK",34.23716,-121.01241,NA,""
"325","9/27/2016 20:04","0-2571714","UNLIMITED-TRACK",34.23619,-121.01471,NA,""
"335","9/27/2016 19:36","0-2572044","UNLIMITED-TRACK",34.2348,-121.01614,NA,""
"338","9/27/2016 19:34","0-2571714","UNLIMITED-TRACK",34.23483,-121.01636,NA,""
"348","9/27/2016 19:06","0-2572044","UNLIMITED-TRACK",34.23334,-121.01803,NA,""
"350","9/27/2016 19:05","0-2571714","UNLIMITED-TRACK",34.23341,-121.0179,NA,""
"361","9/27/2016 18:37","0-2572044","UNLIMITED-TRACK",34.23219,-121.01942,NA,""
"362","9/27/2016 18:35","0-2571714","UNLIMITED-TRACK",34.23212,-121.01956,NA,""
"376","9/27/2016 18:05","0-2571714","UNLIMITED-TRACK",34.23102,-121.02118,NA,""
"390","9/27/2016 17:37","0-2572044","UNLIMITED-TRACK",34.23236,-121.02191,NA,""
"393","9/27/2016 17:34","0-2571714","UNLIMITED-TRACK",34.22997,-121.02295,NA,""
"407","9/27/2016 17:05","0-2571714","UNLIMITED-TRACK",34.22949,-121.02501,NA,""
"422","9/27/2016 16:34","0-2571714","UNLIMITED-TRACK",34.22912,-121.02725,NA,""
"439","9/27/2016 16:05","0-2571714","UNLIMITED-TRACK",34.229,-121.02942,NA,""
"452","9/27/2016 15:35","0-2571714","UNLIMITED-TRACK",34.22912,-121.03195,NA,""
"453","9/27/2016 15:34","0-2572044","UNLIMITED-TRACK",34.2292,-121.032,NA,""
"466","9/27/2016 15:08","0-2572044","UNLIMITED-TRACK",34.22931,-121.03436,NA,""
"469","9/27/2016 15:06","0-2571714","UNLIMITED-TRACK",34.22933,-121.03458,NA,""
"482","9/27/2016 14:38","0-2572044","UNLIMITED-TRACK",34.22963,-121.03694,NA,""
"486","9/27/2016 14:35","0-2571714","UNLIMITED-TRACK",34.22968,-121.03717,NA,""
"498","9/27/2016 14:08","0-2572044","UNLIMITED-TRACK",34.22993,-121.03966,NA,""
"501","9/27/2016 14:06","0-2571714","UNLIMITED-TRACK",34.22997,-121.03983,NA,""
"514","9/27/2016 13:39","0-2572044","UNLIMITED-TRACK",34.23064,-121.04257,NA,""
"519","9/27/2016 13:35","0-2571714","UNLIMITED-TRACK",34.23058,-121.04292,NA,""
"533","9/27/2016 13:06","0-2571714","UNLIMITED-TRACK",34.23121,-121.04541,NA,""
"547","9/27/2016 12:37","0-2572044","UNLIMITED-TRACK",34.23172,-121.0477,NA,""
"549","9/27/2016 12:36","0-2571714","UNLIMITED-TRACK",34.23174,-121.04774,NA,""
"560","9/27/2016 12:09","0-2572044","UNLIMITED-TRACK",34.23236,-121.04953,NA,""
"564","9/27/2016 12:06","0-2571714","UNLIMITED-TRACK",34.23208,-121.04948,NA,""
"576","9/27/2016 11:39","0-2572044","UNLIMITED-TRACK",34.23229,-121.05086,NA,""
"579","9/27/2016 11:36","0-2571714","UNLIMITED-TRACK",34.23221,-121.05084,NA,""
"593","9/27/2016 11:07","0-2571714","UNLIMITED-TRACK",34.23227,-121.05186,NA,""
"609","9/27/2016 10:36","0-2571714","UNLIMITED-TRACK",34.2322,-121.05258,NA,""
"623","9/27/2016 10:07","0-2571714","UNLIMITED-TRACK",34.23232,-121.05301,NA,""
"638","9/27/2016 09:37","0-2571714","UNLIMITED-TRACK",34.23268,-121.05411,NA,""
"653","9/27/2016 09:07","0-2571714","UNLIMITED-TRACK",34.23246,-121.05576,NA,""
"668","9/27/2016 08:37","0-2571714","UNLIMITED-TRACK",34.23221,-121.05809,NA,""
"683","9/27/2016 08:07","0-2571714","UNLIMITED-TRACK",34.23178,-121.061,NA,""
"698","9/27/2016 07:37","0-2571714","UNLIMITED-TRACK",34.23089,-121.06367,NA,""
"712","9/27/2016 07:09","0-2572044","UNLIMITED-TRACK",34.22989,-121.06642,NA,""
"714","9/27/2016 07:08","0-2571714","UNLIMITED-TRACK",34.2299,-121.0661,NA,""
"727","9/27/2016 06:37","0-2571714","UNLIMITED-TRACK",34.2287,-121.06874,NA,""
"743","9/27/2016 06:08","0-2571714","UNLIMITED-TRACK",34.22748,-121.07071,NA,""
"756","9/27/2016 05:38","0-2571714","UNLIMITED-TRACK",34.22617,-121.07323,NA,""
"770","9/27/2016 05:09","0-2571714","UNLIMITED-TRACK",34.22492,-121.07603,NA,""
"772","9/27/2016 05:06","0-2572044","UNLIMITED-TRACK",34.22488,-121.07632,NA,""
"786","9/27/2016 04:39","0-2572044","UNLIMITED-TRACK",34.22389,-121.07875,NA,""
"789","9/27/2016 04:38","0-2571714","UNLIMITED-TRACK",34.22383,-121.07886,NA,""
"802","9/27/2016 04:09","0-2571714","UNLIMITED-TRACK",34.223,-121.08139,NA,""
"803","9/27/2016 04:08","0-2572044","UNLIMITED-TRACK",34.22296,-121.08142,NA,""
"819","9/27/2016 03:38","0-2571714","UNLIMITED-TRACK",34.22232,-121.08371,NA,""
"833","9/27/2016 03:09","0-2571714","UNLIMITED-TRACK",34.2217,-121.08629,NA,""
"834","9/27/2016 03:09","0-2572044","UNLIMITED-TRACK",34.22169,-121.08635,NA,""
"847","9/27/2016 02:41","0-2572044","UNLIMITED-TRACK",34.22121,-121.08942,NA,""
"850","9/27/2016 02:39","0-2571714","UNLIMITED-TRACK",34.22119,-121.08957,NA,""
"865","9/27/2016 02:11","0-2572044","UNLIMITED-TRACK",34.22064,-121.09219,NA,""
"866","9/27/2016 02:10","0-2571714","UNLIMITED-TRACK",34.22075,-121.09262,NA,""
"880","9/27/2016 01:41","0-2572044","UNLIMITED-TRACK",34.2203,-121.09562,NA,""
"883","9/27/2016 01:39","0-2571714","UNLIMITED-TRACK",34.22028,-121.09555,NA,""
"896","9/27/2016 01:11","0-2572044","UNLIMITED-TRACK",34.22,-121.09794,NA,""
"898","9/27/2016 01:10","0-2571714","UNLIMITED-TRACK",34.22001,-121.09796,NA,""
"911","9/27/2016 00:41","0-2572044","UNLIMITED-TRACK",34.21993,-121.09938,NA,""
"914","9/27/2016 00:40","0-2571714","UNLIMITED-TRACK",34.22005,-121.09955,NA,""
"928","9/27/2016 00:11","0-2571714","UNLIMITED-TRACK",34.22014,-121.10086,NA,""
"943","9/26/2016 23:40","0-2571714","UNLIMITED-TRACK",34.21984,-121.10181,NA,""
"945","9/26/2016 23:37","0-2572044","UNLIMITED-TRACK",34.21978,-121.10188,NA,""
"959","9/26/2016 23:11","0-2571714","UNLIMITED-TRACK",34.21926,-121.10217,NA,""
"961","9/26/2016 23:07","0-2572044","UNLIMITED-TRACK",34.21931,-121.10214,NA,""
"975","9/26/2016 22:41","0-2572044","UNLIMITED-TRACK",34.21916,-121.10208,NA,""
"976","9/26/2016 22:41","0-2571714","UNLIMITED-TRACK",34.21915,-121.10207,NA,""
"991","9/26/2016 22:11","0-2571714","UNLIMITED-TRACK",34.21891,-121.10208,NA,""
"1006","9/26/2016 21:42","0-2572044","UNLIMITED-TRACK",34.2181,-121.10287,NA,""
"1007","9/26/2016 21:41","0-2571714","UNLIMITED-TRACK",34.21894,-121.10245,NA,""
"1021","9/26/2016 21:12","0-2571714","UNLIMITED-TRACK",34.21901,-121.1033,NA,""
"1035","9/26/2016 20:42","0-2572044","UNLIMITED-TRACK",34.21864,-121.10387,NA,""
"1037","9/26/2016 20:41","0-2571714","UNLIMITED-TRACK",34.21878,-121.10431,NA,""
"1051","9/26/2016 20:12","0-2571714","UNLIMITED-TRACK",34.21848,-121.10521,NA,""
