"","dateTime","spotID","readingType","lat","long"
"320","9/3/2016 12:53","0-2571609","UNLIMITED-TRACK",35.96364,-122.58836
"322","9/3/2016 12:27","0-2571709","STOP",36.0177,-122.66263
"323","9/3/2016 12:23","0-2571609","UNLIMITED-TRACK",36.02593,-122.6722
"325","9/3/2016 11:56","0-2571709","UNLIMITED-TRACK",36.04671,-122.68306
"326","9/3/2016 11:55","0-2571609","UNLIMITED-TRACK",36.04671,-122.68304
"328","9/3/2016 11:28","0-2571709","UNLIMITED-TRACK",36.04671,-122.6828
"329","9/3/2016 11:24","0-2571609","UNLIMITED-TRACK",36.04678,-122.68274
"331","9/3/2016 10:58","0-2571709","UNLIMITED-TRACK",36.04728,-122.68237
"332","9/3/2016 10:55","0-2571609","UNLIMITED-TRACK",36.04733,-122.68239
"333","9/3/2016 10:26","0-2571709","UNLIMITED-TRACK",36.04766,-122.68272
"334","9/3/2016 10:24","0-2571609","UNLIMITED-TRACK",36.0477,-122.68274
"336","9/3/2016 9:58","0-2571709","UNLIMITED-TRACK",36.04779,-122.68321
"337","9/3/2016 9:56","0-2571609","UNLIMITED-TRACK",36.04779,-122.68329
"339","9/3/2016 9:26","0-2571709","UNLIMITED-TRACK",36.04791,-122.68463
"340","9/3/2016 9:24","0-2571609","UNLIMITED-TRACK",36.04794,-122.68469
"342","9/3/2016 8:56","0-2571709","UNLIMITED-TRACK",36.048,-122.68617
"343","9/3/2016 8:56","0-2571609","UNLIMITED-TRACK",36.04802,-122.68623
"345","9/3/2016 8:26","0-2571709","UNLIMITED-TRACK",36.04791,-122.68814
"346","9/3/2016 8:25","0-2571609","UNLIMITED-TRACK",36.04791,-122.68839
"348","9/3/2016 7:56","0-2571709","UNLIMITED-TRACK",36.04798,-122.69035
"349","9/3/2016 7:55","0-2571609","UNLIMITED-TRACK",36.04795,-122.69028
"351","9/3/2016 7:27","0-2571609","UNLIMITED-TRACK",36.04816,-122.69205
"352","9/3/2016 7:26","0-2571709","UNLIMITED-TRACK",36.04817,-122.69209
"354","9/3/2016 6:59","0-2571709","UNLIMITED-TRACK",36.04875,-122.69351
"355","9/3/2016 6:57","0-2571609","UNLIMITED-TRACK",36.04884,-122.69362
"357","9/3/2016 6:28","0-2571709","UNLIMITED-TRACK",36.04948,-122.69527
"358","9/3/2016 6:27","0-2571609","UNLIMITED-TRACK",36.04953,-122.69534
"360","9/3/2016 5:58","0-2571609","UNLIMITED-TRACK",36.05036,-122.69685
"361","9/3/2016 5:57","0-2571709","UNLIMITED-TRACK",36.0504,-122.69695
"363","9/3/2016 5:29","0-2571709","UNLIMITED-TRACK",36.05129,-122.69817
"364","9/3/2016 5:26","0-2571609","UNLIMITED-TRACK",36.05133,-122.69823
"366","9/3/2016 4:57","0-2571709","UNLIMITED-TRACK",36.05212,-122.69937
"367","9/3/2016 4:57","0-2571609","UNLIMITED-TRACK",36.05212,-122.69928
"369","9/3/2016 4:30","0-2571609","UNLIMITED-TRACK",36.05244,-122.6998
"370","9/3/2016 4:27","0-2571709","UNLIMITED-TRACK",36.05249,-122.69986
"372","9/3/2016 4:00","0-2571709","UNLIMITED-TRACK",36.05307,-122.69997
"373","9/3/2016 3:57","0-2571609","UNLIMITED-TRACK",36.05315,-122.7
"375","9/3/2016 3:27","0-2571609","UNLIMITED-TRACK",36.05416,-122.70047
"376","9/3/2016 3:27","0-2571709","UNLIMITED-TRACK",36.05416,-122.70047
"378","9/3/2016 2:59","0-2571609","UNLIMITED-TRACK",36.05499,-122.70122
"379","9/3/2016 2:58","0-2571709","UNLIMITED-TRACK",36.055,-122.70122
"381","9/3/2016 2:31","0-2571709","UNLIMITED-TRACK",36.05535,-122.70213
"382","9/3/2016 2:28","0-2571609","UNLIMITED-TRACK",36.05545,-122.70219
"384","9/3/2016 2:01","0-2571709","UNLIMITED-TRACK",36.05552,-122.70325
"385","9/3/2016 1:58","0-2571609","UNLIMITED-TRACK",36.05554,-122.70325
"387","9/3/2016 1:30","0-2571609","UNLIMITED-TRACK",36.05573,-122.70349
