"","dateTime","spotID","readingType","lat","long","NA","NA"
"389","9/27/2016 17:37","0-2571518","UNLIMITED-TRACK",33.10899,-120.92377,NA,""
"405","9/27/2016 17:07","0-2571518","UNLIMITED-TRACK",33.10778,-120.92346,NA,""
"419","9/27/2016 16:37","0-2571518","UNLIMITED-TRACK",33.10706,-120.92307,NA,""
"430","9/27/2016 16:14","0-2571518","UNLIMITED-TRACK",33.10669,-120.92233,NA,""
"436","9/27/2016 16:07","0-2571518","UNLIMITED-TRACK",33.10664,-120.92207,NA,""
"449","9/27/2016 15:38","0-2571518","UNLIMITED-TRACK",33.10662,-120.92145,NA,""
"467","9/27/2016 15:08","0-2571518","UNLIMITED-TRACK",33.10728,-120.92151,NA,""
"483","9/27/2016 14:38","0-2571518","UNLIMITED-TRACK",33.10836,-120.92155,NA,""
"499","9/27/2016 14:07","0-2571518","UNLIMITED-TRACK",33.10976,-120.92207,NA,""
"516","9/27/2016 13:38","0-2571518","UNLIMITED-TRACK",33.11131,-120.92288,NA,""
"531","9/27/2016 13:08","0-2571518","UNLIMITED-TRACK",33.11298,-120.92409,NA,""
"546","9/27/2016 12:39","0-2571518","UNLIMITED-TRACK",33.11406,-120.92583,NA,""
"562","9/27/2016 12:08","0-2571518","UNLIMITED-TRACK",33.11517,-120.92784,NA,""
"577","9/27/2016 11:39","0-2571518","UNLIMITED-TRACK",33.11587,-120.93015,NA,""
"591","9/27/2016 11:09","0-2571518","UNLIMITED-TRACK",33.11655,-120.93282,NA,""
"605","9/27/2016 10:39","0-2571518","UNLIMITED-TRACK",33.11703,-120.93518,NA,""
"621","9/27/2016 10:08","0-2571518","UNLIMITED-TRACK",33.11711,-120.93755,NA,""
"635","9/27/2016 09:39","0-2571518","UNLIMITED-TRACK",33.11662,-120.93973,NA,""
"651","9/27/2016 09:10","0-2571518","UNLIMITED-TRACK",33.11535,-120.94231,NA,""
"665","9/27/2016 08:40","0-2571518","UNLIMITED-TRACK",33.11394,-120.94456,NA,""
"679","9/27/2016 08:10","0-2571518","UNLIMITED-TRACK",33.11222,-120.94699,NA,""
"695","9/27/2016 07:40","0-2571518","UNLIMITED-TRACK",33.11032,-120.9494,NA,""
"711","9/27/2016 07:09","0-2571518","UNLIMITED-TRACK",33.10843,-120.95128,NA,""
"725","9/27/2016 06:41","0-2571518","UNLIMITED-TRACK",33.10594,-120.95255,NA,""
"740","9/27/2016 06:10","0-2571518","UNLIMITED-TRACK",33.10322,-120.9536,NA,""
"753","9/27/2016 05:41","0-2571518","UNLIMITED-TRACK",33.10046,-120.95436,NA,""
"768","9/27/2016 05:10","0-2571518","UNLIMITED-TRACK",33.09748,-120.95483,NA,""
"785","9/27/2016 04:41","0-2571518","UNLIMITED-TRACK",33.09472,-120.95557,NA,""
"798","9/27/2016 04:10","0-2571518","UNLIMITED-TRACK",33.09224,-120.95613,NA,""
"816","9/27/2016 03:41","0-2571518","UNLIMITED-TRACK",33.08983,-120.95592,NA,""
"830","9/27/2016 03:11","0-2571518","UNLIMITED-TRACK",33.08772,-120.95529,NA,""
"845","9/27/2016 02:41","0-2571518","UNLIMITED-TRACK",33.08623,-120.95456,NA,""
"864","9/27/2016 02:11","0-2571518","UNLIMITED-TRACK",33.08533,-120.95372,NA,""
"877","9/27/2016 01:42","0-2571518","UNLIMITED-TRACK",33.08512,-120.95297,NA,""
"894","9/27/2016 01:12","0-2571518","UNLIMITED-TRACK",33.08563,-120.95212,NA,""
"910","9/27/2016 00:42","0-2571518","UNLIMITED-TRACK",33.08592,-120.95166,NA,""
"927","9/27/2016 00:11","0-2571518","UNLIMITED-TRACK",33.08622,-120.95172,NA,""
"941","9/26/2016 23:42","0-2571518","UNLIMITED-TRACK",33.08653,-120.95183,NA,""
"958","9/26/2016 23:12","0-2571518","UNLIMITED-TRACK",33.08671,-120.95193,NA,""
"972","9/26/2016 22:43","0-2571518","UNLIMITED-TRACK",33.0874,-120.95197,NA,""
"989","9/26/2016 22:12","0-2571518","UNLIMITED-TRACK",33.08831,-120.95245,NA,""
"1004","9/26/2016 21:43","0-2571518","UNLIMITED-TRACK",33.08909,-120.95271,NA,""
"1020","9/26/2016 21:12","0-2571518","UNLIMITED-TRACK",33.09004,-120.95294,NA,""
"1034","9/26/2016 20:43","0-2571518","UNLIMITED-TRACK",33.09038,-120.95375,NA,""
"1050","9/26/2016 20:13","0-2571518","UNLIMITED-TRACK",33.09028,-120.9549,NA,""
"1065","9/26/2016 19:44","0-2571518","UNLIMITED-TRACK",33.08989,-120.95613,NA,""
"1082","9/26/2016 19:13","0-2571518","UNLIMITED-TRACK",33.08922,-120.95763,NA,""
