"","dateTime","spotID","readingType","lat","long"
"1049","8/31/2016 7:51","0-2572044","UNLIMITED-TRACK",43.28963,-126.28662
"1050","8/31/2016 7:44","0-2571714","UNLIMITED-TRACK",43.29037,-126.28435
"1058","8/31/2016 7:21","0-2572044","UNLIMITED-TRACK",43.29349,-126.27383
"1059","8/31/2016 7:13","0-2571714","UNLIMITED-TRACK",43.29399,-126.27228
"1067","8/31/2016 6:50","0-2572044","UNLIMITED-TRACK",43.29713,-126.26372
"1068","8/31/2016 6:43","0-2571714","UNLIMITED-TRACK",43.29808,-126.26122
"1076","8/31/2016 6:21","0-2572044","UNLIMITED-TRACK",43.30097,-126.25313
"1077","8/31/2016 6:15","0-2571714","UNLIMITED-TRACK",43.30171,-126.25099
"1085","8/31/2016 5:48","0-2572044","UNLIMITED-TRACK",43.30544,-126.24113
"1086","8/31/2016 5:44","0-2571714","UNLIMITED-TRACK",43.3059,-126.23984
"1094","8/31/2016 5:18","0-2572044","UNLIMITED-TRACK",43.30975,-126.23108
"1095","8/31/2016 5:15","0-2571714","UNLIMITED-TRACK",43.31027,-126.23001
"1104","8/31/2016 4:51","0-2572044","UNLIMITED-TRACK",43.31336,-126.22141
"1105","8/31/2016 4:44","0-2571714","UNLIMITED-TRACK",43.3142,-126.21895
"1112","8/31/2016 4:18","0-2572044","UNLIMITED-TRACK",43.317,-126.20995
"1113","8/31/2016 4:15","0-2571714","UNLIMITED-TRACK",43.31739,-126.20894
"1121","8/31/2016 3:49","0-2572044","UNLIMITED-TRACK",43.32043,-126.19917
"1122","8/31/2016 3:44","0-2571714","UNLIMITED-TRACK",43.32093,-126.19748
"1131","8/31/2016 3:18","0-2572044","UNLIMITED-TRACK",43.32335,-126.18935
"1132","8/31/2016 3:16","0-2571714","UNLIMITED-TRACK",43.32407,-126.18726
"1141","8/31/2016 2:46","0-2571714","UNLIMITED-TRACK",43.32734,-126.17686
"1148","8/31/2016 2:23","0-2572044","UNLIMITED-TRACK",43.32992,-126.16901
"1149","8/31/2016 2:15","0-2571714","UNLIMITED-TRACK",43.33099,-126.1662
"1158","8/31/2016 1:53","0-2572044","UNLIMITED-TRACK",43.33356,-126.1586
"1159","8/31/2016 1:45","0-2571714","UNLIMITED-TRACK",43.33435,-126.15552
"1168","8/31/2016 1:20","0-2572044","UNLIMITED-TRACK",43.33684,-126.14619
"1169","8/31/2016 1:17","0-2571714","UNLIMITED-TRACK",43.33704,-126.14536
"1178","8/31/2016 0:50","0-2572044","UNLIMITED-TRACK",43.33981,-126.13594
"1179","8/31/2016 0:49","0-2571714","UNLIMITED-TRACK",43.33989,-126.13564
"1187","8/31/2016 0:23","0-2572044","UNLIMITED-TRACK",43.34222,-126.1265
"1188","8/31/2016 0:17","0-2571714","UNLIMITED-TRACK",43.34286,-126.12444
"1196","8/30/2016 23:54","0-2572044","UNLIMITED-TRACK",43.34559,-126.11607
"1197","8/30/2016 23:46","0-2571714","UNLIMITED-TRACK",43.34668,-126.11313
