"","dateTime","spotID","readingType","lat","long","NA","NA"
"357","9/27/2016 18:45","0-2572666","UNLIMITED-TRACK",33.14318,-120.80576,NA,""
"369","9/27/2016 18:16","0-2572666","UNLIMITED-TRACK",33.14124,-120.80521,NA,""
"385","9/27/2016 17:45","0-2572666","UNLIMITED-TRACK",33.13937,-120.80441,NA,""
"400","9/27/2016 17:16","0-2572666","UNLIMITED-TRACK",33.13802,-120.80354,NA,""
"415","9/27/2016 16:45","0-2572666","UNLIMITED-TRACK",33.13713,-120.80283,NA,""
"429","9/27/2016 16:16","0-2572666","UNLIMITED-TRACK",33.13668,-120.80229,NA,""
"446","9/27/2016 15:45","0-2572666","UNLIMITED-TRACK",33.13635,-120.80212,NA,""
"462","9/27/2016 15:16","0-2572666","UNLIMITED-TRACK",33.13643,-120.80214,NA,""
"477","9/27/2016 14:45","0-2572666","UNLIMITED-TRACK",33.13686,-120.80246,NA,""
"493","9/27/2016 14:16","0-2572666","UNLIMITED-TRACK",33.13731,-120.80354,NA,""
"510","9/27/2016 13:46","0-2572666","UNLIMITED-TRACK",33.13805,-120.80499,NA,""
"526","9/27/2016 13:17","0-2572666","UNLIMITED-TRACK",33.13889,-120.80655,NA,""
"541","9/27/2016 12:46","0-2572666","UNLIMITED-TRACK",33.13972,-120.80853,NA,""
"557","9/27/2016 12:17","0-2572666","UNLIMITED-TRACK",33.14028,-120.81015,NA,""
"572","9/27/2016 11:47","0-2572666","UNLIMITED-TRACK",33.14082,-120.81207,NA,""
"587","9/27/2016 11:17","0-2572666","UNLIMITED-TRACK",33.14109,-120.81421,NA,""
"601","9/27/2016 10:47","0-2572666","UNLIMITED-TRACK",33.14073,-120.81644,NA,""
"616","9/27/2016 10:18","0-2572666","UNLIMITED-TRACK",33.14009,-120.81862,NA,""
"631","9/27/2016 09:48","0-2572666","UNLIMITED-TRACK",33.13928,-120.82097,NA,""
"646","9/27/2016 09:19","0-2572666","UNLIMITED-TRACK",33.13807,-120.82324,NA,""
"661","9/27/2016 08:48","0-2572666","UNLIMITED-TRACK",33.13651,-120.82521,NA,""
"676","9/27/2016 08:19","0-2572666","UNLIMITED-TRACK",33.13486,-120.82721,NA,""
"691","9/27/2016 07:48","0-2572666","UNLIMITED-TRACK",33.13322,-120.82886,NA,""
"706","9/27/2016 07:19","0-2572666","UNLIMITED-TRACK",33.13148,-120.83038,NA,""
"721","9/27/2016 06:48","0-2572666","UNLIMITED-TRACK",33.12926,-120.83148,NA,""
"735","9/27/2016 06:19","0-2572666","UNLIMITED-TRACK",33.12669,-120.83232,NA,""
"750","9/27/2016 05:49","0-2572666","UNLIMITED-TRACK",33.12393,-120.83286,NA,""
"764","9/27/2016 05:19","0-2572666","UNLIMITED-TRACK",33.12164,-120.83307,NA,""
"780","9/27/2016 04:49","0-2572666","UNLIMITED-TRACK",33.1195,-120.83336,NA,""
"795","9/27/2016 04:20","0-2572666","UNLIMITED-TRACK",33.11762,-120.83336,NA,""
"811","9/27/2016 03:50","0-2572666","UNLIMITED-TRACK",33.11571,-120.83293,NA,""
"825","9/27/2016 03:20","0-2572666","UNLIMITED-TRACK",33.11421,-120.83238,NA,""
"842","9/27/2016 02:50","0-2572666","UNLIMITED-TRACK",33.11337,-120.83195,NA,""
"857","9/27/2016 02:21","0-2572666","UNLIMITED-TRACK",33.11321,-120.83197,NA,""
"874","9/27/2016 01:50","0-2572666","UNLIMITED-TRACK",33.11302,-120.83186,NA,""
"889","9/27/2016 01:22","0-2572666","UNLIMITED-TRACK",33.11314,-120.83218,NA,""
"906","9/27/2016 00:50","0-2572666","UNLIMITED-TRACK",33.11354,-120.83302,NA,""
"920","9/27/2016 00:21","0-2572666","UNLIMITED-TRACK",33.11415,-120.83376,NA,""
"937","9/26/2016 23:51","0-2572666","UNLIMITED-TRACK",33.11485,-120.83466,NA,""
"952","9/26/2016 23:22","0-2572666","UNLIMITED-TRACK",33.11543,-120.83582,NA,""
"969","9/26/2016 22:51","0-2572666","UNLIMITED-TRACK",33.11597,-120.83693,NA,""
"984","9/26/2016 22:22","0-2572666","UNLIMITED-TRACK",33.1162,-120.83788,NA,""
"1000","9/26/2016 21:51","0-2572666","UNLIMITED-TRACK",33.11627,-120.83893,NA,""
"1016","9/26/2016 21:22","0-2572666","UNLIMITED-TRACK",33.11628,-120.8399,NA,""
"1030","9/26/2016 20:51","0-2572666","UNLIMITED-TRACK",33.11601,-120.84106,NA,""
"1046","9/26/2016 20:22","0-2572666","UNLIMITED-TRACK",33.11538,-120.84207,NA,""
"1061","9/26/2016 19:52","0-2572666","UNLIMITED-TRACK",33.11427,-120.84264,NA,""
"1076","9/26/2016 19:23","0-2572666","UNLIMITED-TRACK",33.11399,-120.8447,NA,""
"1093","9/26/2016 18:52","0-2572666","UNLIMITED-TRACK",33.11333,-120.84688,NA,""
"1107","9/26/2016 18:23","0-2572666","UNLIMITED-TRACK",33.1122,-120.84833,NA,""
"1123","9/26/2016 17:52","0-2572666","UNLIMITED-TRACK",33.11111,-120.84972,NA,""
"1139","9/26/2016 17:23","0-2572666","UNLIMITED-TRACK",33.10993,-120.85078,NA,""
"1156","9/26/2016 16:53","0-2572666","UNLIMITED-TRACK",33.1092,-120.85147,NA,""
"1172","9/26/2016 16:23","0-2572666","UNLIMITED-TRACK",33.10867,-120.8522,NA,""
"1191","9/26/2016 15:53","0-2572666","UNLIMITED-TRACK",33.10818,-120.85362,NA,""
"1205","9/26/2016 15:24","0-2572666","UNLIMITED-TRACK",33.10796,-120.85512,NA,""
"1222","9/26/2016 14:54","0-2572666","UNLIMITED-TRACK",33.10745,-120.85689,NA,""
"1238","9/26/2016 14:24","0-2572666","UNLIMITED-TRACK",33.10693,-120.85876,NA,""
"1253","9/26/2016 13:54","0-2572666","UNLIMITED-TRACK",33.10674,-120.86101,NA,""
"1270","9/26/2016 13:24","0-2572666","UNLIMITED-TRACK",33.1069,-120.86351,NA,""
"1287","9/26/2016 12:54","0-2572666","UNLIMITED-TRACK",33.10677,-120.86665,NA,""
"1302","9/26/2016 12:24","0-2572666","UNLIMITED-TRACK",33.10638,-120.86963,NA,""
"1318","9/26/2016 11:54","0-2572666","UNLIMITED-TRACK",33.10574,-120.87279,NA,""
"1333","9/26/2016 11:25","0-2572666","UNLIMITED-TRACK",33.10504,-120.87555,NA,""
"1351","9/26/2016 10:54","0-2572666","UNLIMITED-TRACK",33.10411,-120.87819,NA,""
"1365","9/26/2016 10:25","0-2572666","UNLIMITED-TRACK",33.10308,-120.88036,NA,""
"1381","9/26/2016 09:55","0-2572666","UNLIMITED-TRACK",33.10186,-120.88257,NA,""
"1398","9/26/2016 09:26","0-2572666","UNLIMITED-TRACK",33.10037,-120.88486,NA,""
"1414","9/26/2016 08:55","0-2572666","UNLIMITED-TRACK",33.09845,-120.88681,NA,""
"1428","9/26/2016 08:26","0-2572666","UNLIMITED-TRACK",33.09642,-120.88843,NA,""
"1445","9/26/2016 07:55","0-2572666","UNLIMITED-TRACK",33.09432,-120.88982,NA,""
"1459","9/26/2016 07:26","0-2572666","UNLIMITED-TRACK",33.09232,-120.89124,NA,""
"1475","9/26/2016 06:56","0-2572666","UNLIMITED-TRACK",33.09047,-120.89241,NA,""
"1488","9/26/2016 06:27","0-2572666","UNLIMITED-TRACK",33.08838,-120.89328,NA,""
"1505","9/26/2016 05:56","0-2572666","UNLIMITED-TRACK",33.08516,-120.89366,NA,""
"1519","9/26/2016 05:27","0-2572666","UNLIMITED-TRACK",33.08226,-120.89394,NA,""
"1536","9/26/2016 04:56","0-2572666","UNLIMITED-TRACK",33.07945,-120.89346,NA,""
"1549","9/26/2016 04:27","0-2572666","UNLIMITED-TRACK",33.07708,-120.89285,NA,""
"1564","9/26/2016 03:57","0-2572666","UNLIMITED-TRACK",33.07471,-120.8916,NA,""
"1580","9/26/2016 03:27","0-2572666","UNLIMITED-TRACK",33.07271,-120.89003,NA,""
"1598","9/26/2016 02:56","0-2572666","UNLIMITED-TRACK",33.07165,-120.8884,NA,""
"1612","9/26/2016 02:27","0-2572666","UNLIMITED-TRACK",33.07103,-120.88692,NA,""
"1629","9/26/2016 01:57","0-2572666","UNLIMITED-TRACK",33.07116,-120.88573,NA,""
"1642","9/26/2016 01:28","0-2572666","UNLIMITED-TRACK",33.0717,-120.88463,NA,""
"1659","9/26/2016 00:57","0-2572666","UNLIMITED-TRACK",33.07272,-120.88403,NA,""
"1674","9/26/2016 00:28","0-2572666","UNLIMITED-TRACK",33.0743,-120.88393,NA,""
"1691","9/25/2016 23:57","0-2572666","UNLIMITED-TRACK",33.07635,-120.88435,NA,""
"1707","9/25/2016 23:28","0-2572666","UNLIMITED-TRACK",33.07861,-120.88522,NA,""
"1724","9/25/2016 22:58","0-2572666","UNLIMITED-TRACK",33.08057,-120.886,NA,""
"1737","9/25/2016 22:28","0-2572666","UNLIMITED-TRACK",33.08275,-120.88753,NA,""
"1751","9/25/2016 21:58","0-2572666","UNLIMITED-TRACK",33.08474,-120.88913,NA,""
"1765","9/25/2016 21:29","0-2572666","UNLIMITED-TRACK",33.08653,-120.89058,NA,""
"1779","9/25/2016 20:58","0-2572666","UNLIMITED-TRACK",33.08863,-120.8923,NA,""
"1794","9/25/2016 20:29","0-2572666","UNLIMITED-TRACK",33.0905,-120.89397,NA,""
"1809","9/25/2016 19:59","0-2572666","UNLIMITED-TRACK",33.09251,-120.89572,NA,""
"1826","9/25/2016 19:29","0-2572666","UNLIMITED-TRACK",33.09374,-120.89763,NA,""
"1840","9/25/2016 18:59","0-2572666","UNLIMITED-TRACK",33.09394,-120.89996,NA,""
"1855","9/25/2016 18:30","0-2572666","UNLIMITED-TRACK",33.09392,-120.90233,NA,""
"1872","9/25/2016 17:59","0-2572666","UNLIMITED-TRACK",33.09385,-120.90506,NA,""
"1887","9/25/2016 17:30","0-2572666","UNLIMITED-TRACK",33.09398,-120.90741,NA,""
"1905","9/25/2016 16:59","0-2572666","UNLIMITED-TRACK",33.09379,-120.90976,NA,""
"1920","9/25/2016 16:30","0-2572666","UNLIMITED-TRACK",33.09293,-120.9119,NA,""
"1938","9/25/2016 16:00","0-2572666","UNLIMITED-TRACK",33.09204,-120.91426,NA,""
"1953","9/25/2016 15:31","0-2572666","UNLIMITED-TRACK",33.09098,-120.9167,NA,""
"1969","9/25/2016 15:00","0-2572666","UNLIMITED-TRACK",33.09005,-120.91895,NA,""
"1983","9/25/2016 14:31","0-2572666","UNLIMITED-TRACK",33.0888,-120.92107,NA,""
"2000","9/25/2016 14:00","0-2572666","UNLIMITED-TRACK",33.08786,-120.92365,NA,""
"2015","9/25/2016 13:31","0-2572666","UNLIMITED-TRACK",33.0872,-120.92548,NA,""
"2032","9/25/2016 13:01","0-2572666","UNLIMITED-TRACK",33.08662,-120.92735,NA,""
"2048","9/25/2016 12:32","0-2572666","UNLIMITED-TRACK",33.086,-120.92982,NA,""
"2063","9/25/2016 12:01","0-2572666","UNLIMITED-TRACK",33.08501,-120.93237,NA,""
"2078","9/25/2016 11:32","0-2572666","UNLIMITED-TRACK",33.08416,-120.93448,NA,""
"2093","9/25/2016 11:01","0-2572666","UNLIMITED-TRACK",33.08375,-120.93704,NA,""
"2109","9/25/2016 10:31","0-2572666","UNLIMITED-TRACK",33.08362,-120.93944,NA,""
"2123","9/25/2016 10:02","0-2572666","UNLIMITED-TRACK",33.08336,-120.94171,NA,""
"2138","9/25/2016 09:32","0-2572666","UNLIMITED-TRACK",33.08278,-120.94383,NA,""
"2153","9/25/2016 09:02","0-2572666","UNLIMITED-TRACK",33.08195,-120.94551,NA,""
