"","dateTime","spotID","readingType","lat","long","NA","NA"
"11","9/28/2016 19:55","0-2571819","UNLIMITED-TRACK",33.86065,-121.26205,NA,""
"15","9/28/2016 19:26","0-2571819","UNLIMITED-TRACK",33.85982,-121.25789,NA,""
"19","9/28/2016 18:56","0-2571819","UNLIMITED-TRACK",33.85838,-121.25377,NA,""
"22","9/28/2016 18:26","0-2571819","UNLIMITED-TRACK",33.85669,-121.24977,NA,""
"26","9/28/2016 17:56","0-2571819","UNLIMITED-TRACK",33.85515,-121.24529,NA,""
"30","9/28/2016 17:27","0-2571819","UNLIMITED-TRACK",33.85363,-121.24138,NA,""
"34","9/28/2016 16:56","0-2571819","UNLIMITED-TRACK",33.85213,-121.23703,NA,""
"38","9/28/2016 16:27","0-2571819","UNLIMITED-TRACK",33.85094,-121.23328,NA,""
"42","9/28/2016 15:56","0-2571819","UNLIMITED-TRACK",33.84991,-121.22937,NA,""
"46","9/28/2016 15:27","0-2571819","UNLIMITED-TRACK",33.84885,-121.22499,NA,""
"49","9/28/2016 14:57","0-2571819","UNLIMITED-TRACK",33.84793,-121.22086,NA,""
"53","9/28/2016 14:28","0-2571819","UNLIMITED-TRACK",33.84727,-121.21684,NA,""
"57","9/28/2016 13:57","0-2571819","UNLIMITED-TRACK",33.84688,-121.21291,NA,""
"61","9/28/2016 13:28","0-2571819","UNLIMITED-TRACK",33.84628,-121.20911,NA,""
"64","9/28/2016 12:57","0-2571819","UNLIMITED-TRACK",33.84558,-121.20451,NA,""
"67","9/28/2016 12:28","0-2571819","UNLIMITED-TRACK",33.84495,-121.20006,NA,""
"70","9/28/2016 11:58","0-2571819","UNLIMITED-TRACK",33.84514,-121.19504,NA,""
"74","9/28/2016 11:28","0-2571819","UNLIMITED-TRACK",33.84554,-121.19009,NA,""
"76","9/28/2016 10:58","0-2571819","UNLIMITED-TRACK",33.84547,-121.18575,NA,""
"79","9/28/2016 10:28","0-2571819","UNLIMITED-TRACK",33.84565,-121.18153,NA,""
"83","9/28/2016 09:58","0-2571819","UNLIMITED-TRACK",33.8458,-121.17767,NA,""
"88","9/28/2016 09:29","0-2571819","UNLIMITED-TRACK",33.84666,-121.17401,NA,""
"92","9/28/2016 08:58","0-2571819","UNLIMITED-TRACK",33.84724,-121.17007,NA,""
"97","9/28/2016 08:29","0-2571819","UNLIMITED-TRACK",33.84756,-121.16643,NA,""
"104","9/28/2016 07:58","0-2571819","UNLIMITED-TRACK",33.84806,-121.16241,NA,""
"111","9/28/2016 07:29","0-2571819","UNLIMITED-TRACK",33.84851,-121.15865,NA,""
"119","9/28/2016 06:59","0-2571819","UNLIMITED-TRACK",33.84862,-121.15517,NA,""
"128","9/28/2016 06:30","0-2571819","UNLIMITED-TRACK",33.84893,-121.15254,NA,""
"137","9/28/2016 05:59","0-2571819","UNLIMITED-TRACK",33.84895,-121.15074,NA,""
"147","9/28/2016 05:30","0-2571819","UNLIMITED-TRACK",33.8484,-121.14909,NA,""
"157","9/28/2016 05:00","0-2571819","UNLIMITED-TRACK",33.84731,-121.14716,NA,""
"166","9/28/2016 04:30","0-2571819","UNLIMITED-TRACK",33.84549,-121.14445,NA,""
"176","9/28/2016 03:59","0-2571819","UNLIMITED-TRACK",33.84421,-121.14107,NA,""
"185","9/28/2016 03:30","0-2571819","UNLIMITED-TRACK",33.84288,-121.13838,NA,""
"195","9/28/2016 02:59","0-2571819","UNLIMITED-TRACK",33.84127,-121.13573,NA,""
"203","9/28/2016 02:30","0-2571819","UNLIMITED-TRACK",33.83989,-121.13229,NA,""
"213","9/28/2016 02:00","0-2571819","UNLIMITED-TRACK",33.83805,-121.12764,NA,""
"223","9/28/2016 01:30","0-2571819","UNLIMITED-TRACK",33.83694,-121.12256,NA,""
"232","9/28/2016 01:00","0-2571819","UNLIMITED-TRACK",33.83649,-121.11708,NA,""
"240","9/28/2016 00:31","0-2571819","UNLIMITED-TRACK",33.83642,-121.11249,NA,""
"249","9/28/2016 00:00","0-2571819","UNLIMITED-TRACK",33.83661,-121.10767,NA,""
"258","9/27/2016 23:31","0-2571819","UNLIMITED-TRACK",33.837,-121.10275,NA,""
"269","9/27/2016 23:01","0-2571819","UNLIMITED-TRACK",33.83729,-121.09775,NA,""
"279","9/27/2016 22:31","0-2571819","UNLIMITED-TRACK",33.83741,-121.09268,NA,""
"288","9/27/2016 22:01","0-2571819","UNLIMITED-TRACK",33.83742,-121.08809,NA,""
"298","9/27/2016 21:32","0-2571819","UNLIMITED-TRACK",33.83792,-121.08302,NA,""
"308","9/27/2016 21:01","0-2571819","UNLIMITED-TRACK",33.839,-121.07759,NA,""
"318","9/27/2016 20:32","0-2571819","UNLIMITED-TRACK",33.84002,-121.07249,NA,""
"327","9/27/2016 20:01","0-2571819","UNLIMITED-TRACK",33.84079,-121.06732,NA,""
"339","9/27/2016 19:32","0-2571819","UNLIMITED-TRACK",33.84131,-121.06215,NA,""
"352","9/27/2016 19:02","0-2571819","UNLIMITED-TRACK",33.84202,-121.05656,NA,""
"365","9/27/2016 18:32","0-2571819","UNLIMITED-TRACK",33.84328,-121.05095,NA,""
"379","9/27/2016 18:02","0-2571819","UNLIMITED-TRACK",33.84449,-121.04568,NA,""
"395","9/27/2016 17:33","0-2571819","UNLIMITED-TRACK",33.84587,-121.04112,NA,""
"409","9/27/2016 17:02","0-2571819","UNLIMITED-TRACK",33.84727,-121.03676,NA,""
"423","9/27/2016 16:33","0-2571819","UNLIMITED-TRACK",33.84846,-121.03305,NA,""
"440","9/27/2016 16:02","0-2571819","UNLIMITED-TRACK",33.84958,-121.02878,NA,""
"454","9/27/2016 15:34","0-2571819","UNLIMITED-TRACK",33.8512,-121.02486,NA,""
"471","9/27/2016 15:03","0-2571819","UNLIMITED-TRACK",33.85306,-121.02081,NA,""
"487","9/27/2016 14:33","0-2571819","UNLIMITED-TRACK",33.85484,-121.01878,NA,""
"503","9/27/2016 14:03","0-2571819","UNLIMITED-TRACK",33.85714,-121.01546,NA,""
"520","9/27/2016 13:34","0-2571819","UNLIMITED-TRACK",33.85987,-121.01208,NA,""
"535","9/27/2016 13:03","0-2571819","UNLIMITED-TRACK",33.86228,-121.0088,NA,""
"550","9/27/2016 12:34","0-2571819","UNLIMITED-TRACK",33.86457,-121.00589,NA,""
"566","9/27/2016 12:03","0-2571819","UNLIMITED-TRACK",33.86644,-121.00423,NA,""
"580","9/27/2016 11:34","0-2571819","UNLIMITED-TRACK",33.86792,-121.00282,NA,""
"595","9/27/2016 11:04","0-2571819","UNLIMITED-TRACK",33.86913,-121.00151,NA,""
"610","9/27/2016 10:34","0-2571819","UNLIMITED-TRACK",33.86968,-121.0004,NA,""
"625","9/27/2016 10:04","0-2571819","UNLIMITED-TRACK",33.87017,-120.99849,NA,""
"640","9/27/2016 09:34","0-2571819","UNLIMITED-TRACK",33.87056,-120.99649,NA,""
"655","9/27/2016 09:04","0-2571819","UNLIMITED-TRACK",33.87096,-120.99454,NA,""
"669","9/27/2016 08:35","0-2571819","UNLIMITED-TRACK",33.87129,-120.99301,NA,""
"685","9/27/2016 08:04","0-2571819","UNLIMITED-TRACK",33.87146,-120.99106,NA,""
"700","9/27/2016 07:35","0-2571819","UNLIMITED-TRACK",33.87109,-120.98889,NA,""
"716","9/27/2016 07:04","0-2571819","UNLIMITED-TRACK",33.8709,-120.9866,NA,""
"729","9/27/2016 06:35","0-2571819","UNLIMITED-TRACK",33.87041,-120.98398,NA,""
"744","9/27/2016 06:04","0-2571819","UNLIMITED-TRACK",33.87051,-120.98114,NA,""
"758","9/27/2016 05:35","0-2571819","UNLIMITED-TRACK",33.87101,-120.97813,NA,""
"773","9/27/2016 05:04","0-2571819","UNLIMITED-TRACK",33.87192,-120.97499,NA,""
"790","9/27/2016 04:35","0-2571819","UNLIMITED-TRACK",33.87221,-120.97189,NA,""
"805","9/27/2016 04:05","0-2571819","UNLIMITED-TRACK",33.87289,-120.96855,NA,""
"820","9/27/2016 03:35","0-2571819","UNLIMITED-TRACK",33.87374,-120.96582,NA,""
"836","9/27/2016 03:05","0-2571819","UNLIMITED-TRACK",33.87445,-120.96355,NA,""
"852","9/27/2016 02:36","0-2571819","UNLIMITED-TRACK",33.87571,-120.96144,NA,""
"868","9/27/2016 02:05","0-2571819","UNLIMITED-TRACK",33.87786,-120.95856,NA,""
"884","9/27/2016 01:36","0-2571819","UNLIMITED-TRACK",33.87998,-120.95572,NA,""
"900","9/27/2016 01:06","0-2571819","UNLIMITED-TRACK",33.88172,-120.95334,NA,""
"915","9/27/2016 00:37","0-2571819","UNLIMITED-TRACK",33.88287,-120.95181,NA,""
"931","9/27/2016 00:06","0-2571819","UNLIMITED-TRACK",33.88458,-120.94987,NA,""
"947","9/26/2016 23:37","0-2571819","UNLIMITED-TRACK",33.88622,-120.94728,NA,""
"963","9/26/2016 23:06","0-2571819","UNLIMITED-TRACK",33.88767,-120.94479,NA,""
"979","9/26/2016 22:37","0-2571819","UNLIMITED-TRACK",33.88885,-120.94279,NA,""
"994","9/26/2016 22:06","0-2571819","UNLIMITED-TRACK",33.88985,-120.94003,NA,""
"1010","9/26/2016 21:37","0-2571819","UNLIMITED-TRACK",33.89142,-120.93665,NA,""
"1024","9/26/2016 21:07","0-2571819","UNLIMITED-TRACK",33.89408,-120.933,NA,""
"1039","9/26/2016 20:37","0-2571819","UNLIMITED-TRACK",33.89676,-120.92937,NA,""
"1055","9/26/2016 20:07","0-2571819","UNLIMITED-TRACK",33.89916,-120.9269,NA,""
"1071","9/26/2016 19:38","0-2571819","UNLIMITED-TRACK",33.90107,-120.92473,NA,""
"1087","9/26/2016 19:07","0-2571819","UNLIMITED-TRACK",33.90298,-120.92329,NA,""
"1102","9/26/2016 18:38","0-2571819","UNLIMITED-TRACK",33.90458,-120.92207,NA,""
"1118","9/26/2016 18:07","0-2571819","UNLIMITED-TRACK",33.9065,-120.92023,NA,""
"1133","9/26/2016 17:38","0-2571819","UNLIMITED-TRACK",33.90825,-120.91823,NA,""
"1150","9/26/2016 17:08","0-2571819","UNLIMITED-TRACK",33.90976,-120.91689,NA,""
"1167","9/26/2016 16:38","0-2571819","UNLIMITED-TRACK",33.91138,-120.91536,NA,""
"1185","9/26/2016 16:08","0-2571819","UNLIMITED-TRACK",33.91325,-120.91393,NA,""
"1201","9/26/2016 15:39","0-2571819","UNLIMITED-TRACK",33.91504,-120.91309,NA,""
"1217","9/26/2016 15:08","0-2571819","UNLIMITED-TRACK",33.91637,-120.91255,NA,""
"1232","9/26/2016 14:39","0-2571819","UNLIMITED-TRACK",33.9177,-120.91203,NA,""
"1249","9/26/2016 14:09","0-2571819","UNLIMITED-TRACK",33.91938,-120.9113,NA,""
"1264","9/26/2016 13:39","0-2571819","UNLIMITED-TRACK",33.92081,-120.91084,NA,""
"1281","9/26/2016 13:09","0-2571819","UNLIMITED-TRACK",33.92229,-120.91072,NA,""
"1297","9/26/2016 12:40","0-2571819","UNLIMITED-TRACK",33.92413,-120.90997,NA,""
"1313","9/26/2016 12:09","0-2571819","UNLIMITED-TRACK",33.92579,-120.90945,NA,""
"1329","9/26/2016 11:40","0-2571819","UNLIMITED-TRACK",33.92728,-120.90941,NA,""
"1345","9/26/2016 11:10","0-2571819","UNLIMITED-TRACK",33.92879,-120.90897,NA,""
"1360","9/26/2016 10:40","0-2571819","UNLIMITED-TRACK",33.93002,-120.90926,NA,""
"1375","9/26/2016 10:10","0-2571819","UNLIMITED-TRACK",33.93126,-120.9097,NA,""
"1392","9/26/2016 09:41","0-2571819","UNLIMITED-TRACK",33.93224,-120.90965,NA,""
"1407","9/26/2016 09:10","0-2571819","UNLIMITED-TRACK",33.93268,-120.91003,NA,""
"1424","9/26/2016 08:41","0-2571819","UNLIMITED-TRACK",33.93262,-120.91074,NA,""
"1439","9/26/2016 08:10","0-2571819","UNLIMITED-TRACK",33.93258,-120.9111,NA,""
"1454","9/26/2016 07:41","0-2571819","UNLIMITED-TRACK",33.9321,-120.91167,NA,""
"1471","9/26/2016 07:11","0-2571819","UNLIMITED-TRACK",33.93148,-120.912,NA,""
"1484","9/26/2016 06:42","0-2571819","UNLIMITED-TRACK",33.9308,-120.91156,NA,""
"1499","9/26/2016 06:11","0-2571819","UNLIMITED-TRACK",33.93,-120.91014,NA,""
"1515","9/26/2016 05:42","0-2571819","UNLIMITED-TRACK",33.92969,-120.9086,NA,""
"1530","9/26/2016 05:11","0-2571819","UNLIMITED-TRACK",33.92917,-120.90707,NA,""
"1545","9/26/2016 04:42","0-2571819","UNLIMITED-TRACK",33.92932,-120.90514,NA,""
"1560","9/26/2016 04:12","0-2571819","UNLIMITED-TRACK",33.9299,-120.90265,NA,""
"1574","9/26/2016 03:42","0-2571819","UNLIMITED-TRACK",33.93064,-120.90089,NA,""
"1592","9/26/2016 03:12","0-2571819","UNLIMITED-TRACK",33.93154,-120.89915,NA,""
"1608","9/26/2016 02:43","0-2571819","UNLIMITED-TRACK",33.9327,-120.89735,NA,""
"1622","9/26/2016 02:12","0-2571819","UNLIMITED-TRACK",33.93407,-120.89499,NA,""
"1637","9/26/2016 01:43","0-2571819","UNLIMITED-TRACK",33.93542,-120.89304,NA,""
"1654","9/26/2016 01:12","0-2571819","UNLIMITED-TRACK",33.93685,-120.89117,NA,""
"1669","9/26/2016 00:43","0-2571819","UNLIMITED-TRACK",33.93806,-120.89003,NA,""
"1685","9/26/2016 00:13","0-2571819","UNLIMITED-TRACK",33.93983,-120.88864,NA,""
