"","dateTime","spotID","readingType","lat","long","NA","NA"
"6820","9/17/2016 21:04","0-2405804","UNLIMITED-TRACK",46.32907,-128.10942,NA,""
"6836","9/17/2016 20:34","0-2405804","UNLIMITED-TRACK",46.32899,-128.11394,NA,""
"6844","9/17/2016 20:22","0-2573433","UNLIMITED-TRACK",46.32897,-128.11581,NA,""
"6853","9/17/2016 20:04","0-2405804","UNLIMITED-TRACK",46.3292,-128.11832,NA,""
"6862","9/17/2016 19:52","0-2573433","UNLIMITED-TRACK",46.32941,-128.12012,NA,""
"6870","9/17/2016 19:35","0-2405804","UNLIMITED-TRACK",46.32978,-128.12268,NA,""
"6877","9/17/2016 19:26","0-2573433","UNLIMITED-TRACK",46.33006,-128.12399,NA,""
"6888","9/17/2016 19:04","0-2405804","UNLIMITED-TRACK",46.33092,-128.12714,NA,""
"6896","9/17/2016 18:52","0-2573433","UNLIMITED-TRACK",46.33144,-128.12889,NA,""
"6907","9/17/2016 18:35","0-2405804","UNLIMITED-TRACK",46.33212,-128.13148,NA,""
"6913","9/17/2016 18:26","0-2573433","UNLIMITED-TRACK",46.33253,-128.1328,NA,""
"6924","9/17/2016 18:05","0-2405804","UNLIMITED-TRACK",46.33332,-128.13576,NA,""
"6931","9/17/2016 17:56","0-2573433","UNLIMITED-TRACK",46.33406,-128.13683,NA,""
"6941","9/17/2016 17:35","0-2405804","UNLIMITED-TRACK",46.3344,-128.13957,NA,""
"6958","9/17/2016 17:05","0-2405804","UNLIMITED-TRACK",46.33558,-128.14316,NA,""
"6965","9/17/2016 16:53","0-2573433","UNLIMITED-TRACK",46.33605,-128.14462,NA,""
"6975","9/17/2016 16:36","0-2405804","UNLIMITED-TRACK",46.3367,-128.14655,NA,""
"6983","9/17/2016 16:23","0-2573433","UNLIMITED-TRACK",46.33704,-128.14797,NA,""
"6993","9/17/2016 16:05","0-2405804","UNLIMITED-TRACK",46.33762,-128.15041,NA,""
"7000","9/17/2016 15:56","0-2573433","UNLIMITED-TRACK",46.33799,-128.15166,NA,""
"7011","9/17/2016 15:36","0-2405804","UNLIMITED-TRACK",46.33823,-128.15425,NA,""
"7018","9/17/2016 15:26","0-2573433","UNLIMITED-TRACK",46.33851,-128.15553,NA,""
"7027","9/17/2016 15:06","0-2405804","UNLIMITED-TRACK",46.33897,-128.15837,NA,""
"7034","9/17/2016 14:57","0-2573433","UNLIMITED-TRACK",46.33908,-128.15952,NA,""
"7044","9/17/2016 14:36","0-2405804","UNLIMITED-TRACK",46.33937,-128.1624,NA,""
"7051","9/17/2016 14:27","0-2573433","UNLIMITED-TRACK",46.33934,-128.1639,NA,""
"7061","9/17/2016 14:06","0-2405804","UNLIMITED-TRACK",46.33939,-128.16614,NA,""
"7068","9/17/2016 13:57","0-2573433","UNLIMITED-TRACK",46.33938,-128.16716,NA,""
"7079","9/17/2016 13:37","0-2405804","UNLIMITED-TRACK",46.33954,-128.16956,NA,""
"7088","9/17/2016 13:23","0-2573433","UNLIMITED-TRACK",46.3396,-128.17116,NA,""
"7096","9/17/2016 13:07","0-2405804","UNLIMITED-TRACK",46.33949,-128.17311,NA,""
"7104","9/17/2016 12:57","0-2573433","UNLIMITED-TRACK",46.3394,-128.17418,NA,""
"7114","9/17/2016 12:38","0-2405804","UNLIMITED-TRACK",46.33925,-128.17624,NA,""
"7124","9/17/2016 12:24","0-2573433","UNLIMITED-TRACK",46.33916,-128.17781,NA,""
"7133","9/17/2016 12:07","0-2405804","UNLIMITED-TRACK",46.33921,-128.17953,NA,""
"7144","9/17/2016 11:54","0-2573433","UNLIMITED-TRACK",46.33943,-128.18094,NA,""
"7152","9/17/2016 11:38","0-2405804","UNLIMITED-TRACK",46.33953,-128.18294,NA,""
"7161","9/17/2016 11:27","0-2573433","UNLIMITED-TRACK",46.33952,-128.18436,NA,""
"7169","9/17/2016 11:07","0-2405804","UNLIMITED-TRACK",46.33933,-128.18723,NA,""
"7178","9/17/2016 10:56","0-2573433","UNLIMITED-TRACK",46.33917,-128.1888,NA,""
"7187","9/17/2016 10:38","0-2405804","UNLIMITED-TRACK",46.3388,-128.19138,NA,""
"7196","9/17/2016 10:26","0-2573433","UNLIMITED-TRACK",46.33858,-128.19312,NA,""
"7207","9/17/2016 10:07","0-2405804","UNLIMITED-TRACK",46.3383,-128.19588,NA,""
"7215","9/17/2016 09:56","0-2573433","UNLIMITED-TRACK",46.33819,-128.19733,NA,""
"7223","9/17/2016 09:39","0-2405804","UNLIMITED-TRACK",46.33829,-128.19995,NA,""
"7233","9/17/2016 09:24","0-2573433","UNLIMITED-TRACK",46.33825,-128.20195,NA,""
"7242","9/17/2016 09:08","0-2405804","UNLIMITED-TRACK",46.33836,-128.20418,NA,""
"7253","9/17/2016 08:56","0-2573433","UNLIMITED-TRACK",46.33837,-128.20566,NA,""
"7262","9/17/2016 08:39","0-2405804","UNLIMITED-TRACK",46.33847,-128.20787,NA,""
"7271","9/17/2016 08:28","0-2573433","UNLIMITED-TRACK",46.33875,-128.20908,NA,""
"7280","9/17/2016 08:08","0-2405804","UNLIMITED-TRACK",46.33863,-128.21198,NA,""
"7291","9/17/2016 07:54","0-2573433","UNLIMITED-TRACK",46.33885,-128.214,NA,""
"7299","9/17/2016 07:39","0-2405804","UNLIMITED-TRACK",46.33913,-128.21646,NA,""
"7308","9/17/2016 07:24","0-2573433","UNLIMITED-TRACK",46.33945,-128.21821,NA,""
"7317","9/17/2016 07:08","0-2405804","UNLIMITED-TRACK",46.34018,-128.22186,NA,""
"7325","9/17/2016 06:59","0-2573433","UNLIMITED-TRACK",46.34066,-128.22351,NA,""
"7334","9/17/2016 06:39","0-2405804","UNLIMITED-TRACK",46.34149,-128.22699,NA,""
"7345","9/17/2016 06:25","0-2573433","UNLIMITED-TRACK",46.34212,-128.22977,NA,""
"7353","9/17/2016 06:09","0-2405804","UNLIMITED-TRACK",46.3428,-128.23289,NA,""
"7361","9/17/2016 05:55","0-2573433","UNLIMITED-TRACK",46.34325,-128.2356,NA,""
"7371","9/17/2016 05:39","0-2405804","UNLIMITED-TRACK",46.34365,-128.23854,NA,""
"7380","9/17/2016 05:28","0-2573433","UNLIMITED-TRACK",46.3438,-128.24068,NA,""
"7389","9/17/2016 05:09","0-2405804","UNLIMITED-TRACK",46.34403,-128.24416,NA,""
"7400","9/17/2016 04:55","0-2573433","UNLIMITED-TRACK",46.34416,-128.24663,NA,""
"7409","9/17/2016 04:40","0-2405804","UNLIMITED-TRACK",46.34397,-128.24944,NA,""
"7420","9/17/2016 04:25","0-2573433","UNLIMITED-TRACK",46.34365,-128.25221,NA,""
"7428","9/17/2016 04:09","0-2405804","UNLIMITED-TRACK",46.34315,-128.25488,NA,""
"7437","9/17/2016 03:58","0-2573433","UNLIMITED-TRACK",46.34278,-128.25636,NA,""
"7447","9/17/2016 03:40","0-2405804","UNLIMITED-TRACK",46.34214,-128.25885,NA,""
"7458","9/17/2016 03:26","0-2573433","UNLIMITED-TRACK",46.34155,-128.26062,NA,""
"7466","9/17/2016 03:09","0-2405804","UNLIMITED-TRACK",46.34088,-128.26242,NA,""
"7476","9/17/2016 02:56","0-2573433","UNLIMITED-TRACK",46.34039,-128.26354,NA,""
"7486","9/17/2016 02:40","0-2405804","UNLIMITED-TRACK",46.33941,-128.26555,NA,""
"7495","9/17/2016 02:30","0-2573433","UNLIMITED-TRACK",46.33879,-128.26674,NA,""
"7504","9/17/2016 02:10","0-2405804","UNLIMITED-TRACK",46.33756,-128.2692,NA,""
"7514","9/17/2016 01:56","0-2573433","UNLIMITED-TRACK",46.33685,-128.27094,NA,""
"7522","9/17/2016 01:40","0-2405804","UNLIMITED-TRACK",46.33599,-128.27293,NA,""
"7531","9/17/2016 01:28","0-2573433","UNLIMITED-TRACK",46.33537,-128.27452,NA,""
"7542","9/17/2016 01:10","0-2405804","UNLIMITED-TRACK",46.33425,-128.27675,NA,""
"7551","9/17/2016 00:56","0-2573433","UNLIMITED-TRACK",46.33325,-128.27834,NA,""
"7559","9/17/2016 00:41","0-2405804","UNLIMITED-TRACK",46.3319,-128.28029,NA,""
"7568","9/17/2016 00:26","0-2573433","UNLIMITED-TRACK",46.33064,-128.28188,NA,""
"7578","9/17/2016 00:10","0-2405804","UNLIMITED-TRACK",46.32935,-128.28349,NA,""
"7586","9/16/2016 23:59","0-2573433","UNLIMITED-TRACK",46.32851,-128.28456,NA,""
"7596","9/16/2016 23:41","0-2405804","UNLIMITED-TRACK",46.32718,-128.2861,NA,""
"7606","9/16/2016 23:29","0-2573433","UNLIMITED-TRACK",46.32629,-128.28712,NA,""
"7616","9/16/2016 23:11","0-2405804","UNLIMITED-TRACK",46.32504,-128.28856,NA,""
"7625","9/16/2016 22:59","0-2573433","UNLIMITED-TRACK",46.32426,-128.2894,NA,""
"7635","9/16/2016 22:42","0-2405804","UNLIMITED-TRACK",46.32337,-128.29048,NA,""
"7647","9/16/2016 22:27","0-2573433","UNLIMITED-TRACK",46.32268,-128.29146,NA,""
"7657","9/16/2016 22:12","0-2405804","UNLIMITED-TRACK",46.32215,-128.29268,NA,""
"7666","9/16/2016 21:59","0-2573433","UNLIMITED-TRACK",46.32156,-128.29369,NA,""
"7675","9/16/2016 21:42","0-2405804","UNLIMITED-TRACK",46.32079,-128.29514,NA,""
"7683","9/16/2016 21:31","0-2573433","UNLIMITED-TRACK",46.32024,-128.29619,NA,""
"7693","9/16/2016 21:12","0-2405804","UNLIMITED-TRACK",46.31952,-128.29803,NA,""
"7703","9/16/2016 20:57","0-2573433","UNLIMITED-TRACK",46.3189,-128.29948,NA,""
"7713","9/16/2016 20:43","0-2405804","UNLIMITED-TRACK",46.31887,-128.30089,NA,""
"7724","9/16/2016 20:29","0-2573433","UNLIMITED-TRACK",46.31865,-128.3024,NA,""
"7735","9/16/2016 20:12","0-2405804","UNLIMITED-TRACK",46.31839,-128.30421,NA,""
"7746","9/16/2016 19:58","0-2573433","UNLIMITED-TRACK",46.31822,-128.30591,NA,""
"7756","9/16/2016 19:43","0-2405804","UNLIMITED-TRACK",46.31818,-128.30746,NA,""
"7766","9/16/2016 19:30","0-2573433","UNLIMITED-TRACK",46.31809,-128.30891,NA,""
"7777","9/16/2016 19:12","0-2405804","UNLIMITED-TRACK",46.31775,-128.31096,NA,""
"7786","9/16/2016 19:02","0-2573433","UNLIMITED-TRACK",46.31762,-128.31219,NA,""
"7797","9/16/2016 18:43","0-2405804","UNLIMITED-TRACK",46.31723,-128.31462,NA,""
"7807","9/16/2016 18:29","0-2573433","UNLIMITED-TRACK",46.31696,-128.31665,NA,""
"7819","9/16/2016 18:13","0-2405804","UNLIMITED-TRACK",46.31674,-128.31894,NA,""
"7828","9/16/2016 18:01","0-2573433","UNLIMITED-TRACK",46.31665,-128.32065,NA,""
"7839","9/16/2016 17:43","0-2405804","UNLIMITED-TRACK",46.31655,-128.32317,NA,""
"7849","9/16/2016 17:32","0-2573433","UNLIMITED-TRACK",46.31639,-128.32489,NA,""
"7860","9/16/2016 17:13","0-2405804","UNLIMITED-TRACK",46.31632,-128.32767,NA,""
"7880","9/16/2016 16:44","0-2405804","UNLIMITED-TRACK",46.31619,-128.33147,NA,""
"7889","9/16/2016 16:31","0-2573433","UNLIMITED-TRACK",46.31614,-128.33321,NA,""
"7899","9/16/2016 16:13","0-2405804","UNLIMITED-TRACK",46.3161,-128.33542,NA,""
"7907","9/16/2016 16:00","0-2573433","UNLIMITED-TRACK",46.31616,-128.33725,NA,""
"7917","9/16/2016 15:44","0-2405804","UNLIMITED-TRACK",46.3163,-128.33939,NA,""
"7935","9/16/2016 15:14","0-2405804","UNLIMITED-TRACK",46.3162,-128.34367,NA,""
"7945","9/16/2016 14:59","0-2573433","UNLIMITED-TRACK",46.31573,-128.34581,NA,""
"7956","9/16/2016 14:44","0-2405804","UNLIMITED-TRACK",46.31516,-128.34779,NA,""
"7968","9/16/2016 14:29","0-2573433","UNLIMITED-TRACK",46.31456,-128.34985,NA,""
"7979","9/16/2016 14:14","0-2405804","UNLIMITED-TRACK",46.31376,-128.35181,NA,""
"7988","9/16/2016 14:03","0-2573433","UNLIMITED-TRACK",46.31301,-128.35323,NA,""
"7998","9/16/2016 13:46","0-2405804","UNLIMITED-TRACK",46.31176,-128.35527,NA,""
"8011","9/16/2016 13:29","0-2573433","UNLIMITED-TRACK",46.31049,-128.35727,NA,""
"8023","9/16/2016 13:14","0-2405804","UNLIMITED-TRACK",46.30927,-128.35918,NA,""
"8035","9/16/2016 13:00","0-2573433","UNLIMITED-TRACK",46.30804,-128.36095,NA,""
"8045","9/16/2016 12:45","0-2405804","UNLIMITED-TRACK",46.3068,-128.36261,NA,""
"8057","9/16/2016 12:30","0-2573433","UNLIMITED-TRACK",46.30572,-128.36395,NA,""
