"","dateTime","spotID","readingType","lat","long","NA","NA"
"8020","9/16/2016 13:17","0-2573891","UNLIMITED-TRACK",41.63644,-129.2764,NA,""
"8029","9/16/2016 13:06","0-2571819","UNLIMITED-TRACK",41.63681,-129.27625,NA,""
"8043","9/16/2016 12:47","0-2573891","UNLIMITED-TRACK",41.63728,-129.27614,NA,""
"8053","9/16/2016 12:36","0-2571819","UNLIMITED-TRACK",41.63744,-129.27628,NA,""
"8064","9/16/2016 12:20","0-2573891","UNLIMITED-TRACK",41.63768,-129.27654,NA,""
"8072","9/16/2016 12:07","0-2571819","UNLIMITED-TRACK",41.63773,-129.27686,NA,""
"8087","9/16/2016 11:47","0-2573891","UNLIMITED-TRACK",41.63768,-129.27751,NA,""
"8096","9/16/2016 11:36","0-2571819","UNLIMITED-TRACK",41.63747,-129.27802,NA,""
"8109","9/16/2016 11:18","0-2573891","UNLIMITED-TRACK",41.63721,-129.27864,NA,""
"8117","9/16/2016 11:07","0-2571819","UNLIMITED-TRACK",41.637,-129.27893,NA,""
"8131","9/16/2016 10:47","0-2573891","UNLIMITED-TRACK",41.63661,-129.27951,NA,""
"8139","9/16/2016 10:37","0-2571819","UNLIMITED-TRACK",41.63635,-129.27962,NA,""
"8154","9/16/2016 10:18","0-2573891","UNLIMITED-TRACK",41.63581,-129.27983,NA,""
"8160","9/16/2016 10:07","0-2571819","UNLIMITED-TRACK",41.63546,-129.28009,NA,""
"8174","9/16/2016 09:49","0-2573891","UNLIMITED-TRACK",41.63494,-129.28026,NA,""
"8184","9/16/2016 09:38","0-2571819","UNLIMITED-TRACK",41.63475,-129.28026,NA,""
"8195","9/16/2016 09:18","0-2573891","UNLIMITED-TRACK",41.63435,-129.28009,NA,""
"8206","9/16/2016 09:07","0-2571819","UNLIMITED-TRACK",41.63401,-129.28014,NA,""
"8219","9/16/2016 08:49","0-2573891","UNLIMITED-TRACK",41.63344,-129.28026,NA,""
"8230","9/16/2016 08:37","0-2571819","UNLIMITED-TRACK",41.633,-129.28041,NA,""
"8245","9/16/2016 08:17","0-2573891","UNLIMITED-TRACK",41.63239,-129.28055,NA,""
"8253","9/16/2016 08:08","0-2571819","UNLIMITED-TRACK",41.63216,-129.28052,NA,""
"8266","9/16/2016 07:48","0-2573891","UNLIMITED-TRACK",41.63178,-129.28033,NA,""
"8277","9/16/2016 07:37","0-2571819","UNLIMITED-TRACK",41.63158,-129.28024,NA,""
"8292","9/16/2016 07:17","0-2573891","UNLIMITED-TRACK",41.63119,-129.28024,NA,""
"8298","9/16/2016 07:08","0-2571819","UNLIMITED-TRACK",41.63099,-129.2802,NA,""
"8309","9/16/2016 06:49","0-2573891","UNLIMITED-TRACK",41.63063,-129.28009,NA,""
"8321","9/16/2016 06:37","0-2571819","UNLIMITED-TRACK",41.63042,-129.28004,NA,""
"8334","9/16/2016 06:17","0-2573891","UNLIMITED-TRACK",41.63005,-129.27972,NA,""
