"","dateTime","spotID","readingType","lat","long","NA","NA"
"10918","9/14/2016 04:22","0-2573523","UNLIMITED-TRACK",33.95017,-125.3851,NA,""
"10924","9/14/2016 04:19","0-2571722","UNLIMITED-TRACK",33.95036,-125.38559,NA,""
"10946","9/14/2016 03:53","0-2573523","UNLIMITED-TRACK",33.9511,-125.38812,NA,""
"10955","9/14/2016 03:47","0-2571722","UNLIMITED-TRACK",33.95134,-125.3887,NA,""
"10974","9/14/2016 03:22","0-2573523","UNLIMITED-TRACK",33.95208,-125.39081,NA,""
"10983","9/14/2016 03:17","0-2571722","UNLIMITED-TRACK",33.95219,-125.39124,NA,""
"11002","9/14/2016 02:54","0-2573523","UNLIMITED-TRACK",33.95302,-125.3931,NA,""
"11005","9/14/2016 02:50","0-2571722","UNLIMITED-TRACK",33.95313,-125.39336,NA,""
"11031","9/14/2016 02:23","0-2573523","UNLIMITED-TRACK",33.95409,-125.39569,NA,""
"11041","9/14/2016 02:18","0-2571722","UNLIMITED-TRACK",33.95424,-125.39612,NA,""
"11059","9/14/2016 01:54","0-2573523","UNLIMITED-TRACK",33.95483,-125.39836,NA,""
"11068","9/14/2016 01:49","0-2571722","UNLIMITED-TRACK",33.95496,-125.3989,NA,""
"11088","9/14/2016 01:24","0-2573523","UNLIMITED-TRACK",33.9556,-125.40102,NA,""
"11096","9/14/2016 01:19","0-2571722","UNLIMITED-TRACK",33.95566,-125.4014,NA,""
"11116","9/14/2016 00:54","0-2573523","UNLIMITED-TRACK",33.95619,-125.40344,NA,""
"11124","9/14/2016 00:49","0-2571722","UNLIMITED-TRACK",33.95625,-125.40385,NA,""
"11146","9/14/2016 00:25","0-2573523","UNLIMITED-TRACK",33.95676,-125.40581,NA,""
"11155","9/14/2016 00:18","0-2571722","UNLIMITED-TRACK",33.95689,-125.40631,NA,""
"11172","9/13/2016 23:55","0-2573523","UNLIMITED-TRACK",33.95744,-125.40836,NA,""
"11182","9/13/2016 23:48","0-2571722","UNLIMITED-TRACK",33.95753,-125.40904,NA,""
"11201","9/13/2016 23:24","0-2573523","UNLIMITED-TRACK",33.95799,-125.41112,NA,""
"11203","9/13/2016 23:21","0-2571722","UNLIMITED-TRACK",33.95808,-125.41138,NA,""
"11228","9/13/2016 22:54","0-2573523","UNLIMITED-TRACK",33.95846,-125.41352,NA,""
"11238","9/13/2016 22:48","0-2571722","UNLIMITED-TRACK",33.9585,-125.41406,NA,""
"11259","9/13/2016 22:24","0-2573523","UNLIMITED-TRACK",33.95875,-125.41617,NA,""
"11267","9/13/2016 22:20","0-2571722","UNLIMITED-TRACK",33.95874,-125.41649,NA,""
"11288","9/13/2016 21:54","0-2573523","UNLIMITED-TRACK",33.95843,-125.41856,NA,""
"11298","9/13/2016 21:49","0-2571722","UNLIMITED-TRACK",33.95835,-125.41896,NA,""
"11320","9/13/2016 21:24","0-2573523","UNLIMITED-TRACK",33.958,-125.42023,NA,""
"11328","9/13/2016 21:19","0-2571722","UNLIMITED-TRACK",33.95788,-125.42042,NA,""
"11348","9/13/2016 20:55","0-2573523","UNLIMITED-TRACK",33.95717,-125.4212,NA,""
"11355","9/13/2016 20:49","0-2571722","UNLIMITED-TRACK",33.95702,-125.42136,NA,""
"11377","9/13/2016 20:24","0-2573523","UNLIMITED-TRACK",33.95602,-125.42157,NA,""
"11405","9/13/2016 19:55","0-2573523","UNLIMITED-TRACK",33.95523,-125.4218,NA,""
"11414","9/13/2016 19:49","0-2571722","UNLIMITED-TRACK",33.9551,-125.42198,NA,""
"11434","9/13/2016 19:24","0-2573523","UNLIMITED-TRACK",33.95508,-125.4222,NA,""
"11442","9/13/2016 19:20","0-2571722","UNLIMITED-TRACK",33.95508,-125.4223,NA,""
"11462","9/13/2016 18:55","0-2573523","UNLIMITED-TRACK",33.95525,-125.42293,NA,""
"11466","9/13/2016 18:52","0-2571722","UNLIMITED-TRACK",33.95528,-125.42308,NA,""
"11492","9/13/2016 18:24","0-2573523","UNLIMITED-TRACK",33.95554,-125.42404,NA,""
"11500","9/13/2016 18:20","0-2571722","UNLIMITED-TRACK",33.95562,-125.42432,NA,""
"11519","9/13/2016 17:56","0-2573523","UNLIMITED-TRACK",33.95631,-125.42552,NA,""
"11528","9/13/2016 17:50","0-2571722","UNLIMITED-TRACK",33.95652,-125.42583,NA,""
"11549","9/13/2016 17:25","0-2573523","UNLIMITED-TRACK",33.95774,-125.42731,NA,""
"11550","9/13/2016 17:23","0-2571722","UNLIMITED-TRACK",33.95784,-125.42746,NA,""
"11577","9/13/2016 16:56","0-2573523","UNLIMITED-TRACK",33.95924,-125.42908,NA,""
"11585","9/13/2016 16:51","0-2571722","UNLIMITED-TRACK",33.95949,-125.42949,NA,""
"11606","9/13/2016 16:25","0-2573523","UNLIMITED-TRACK",33.96117,-125.43149,NA,""
"11610","9/13/2016 16:22","0-2571722","UNLIMITED-TRACK",33.96136,-125.43181,NA,""
"11636","9/13/2016 15:55","0-2573523","UNLIMITED-TRACK",33.96296,-125.43451,NA,""
"11641","9/13/2016 15:51","0-2571722","UNLIMITED-TRACK",33.96323,-125.43492,NA,""
"11661","9/13/2016 15:27","0-2573523","UNLIMITED-TRACK",33.96455,-125.43761,NA,""
"11668","9/13/2016 15:23","0-2571722","UNLIMITED-TRACK",33.96484,-125.43814,NA,""
"11691","9/13/2016 14:55","0-2573523","UNLIMITED-TRACK",33.96637,-125.44142,NA,""
"11699","9/13/2016 14:51","0-2571722","UNLIMITED-TRACK",33.96661,-125.4418,NA,""
"11721","9/13/2016 14:25","0-2573523","UNLIMITED-TRACK",33.9677,-125.44494,NA,""
"11724","9/13/2016 14:23","0-2571722","UNLIMITED-TRACK",33.9679,-125.44537,NA,""
"11747","9/13/2016 13:56","0-2573523","UNLIMITED-TRACK",33.96885,-125.44859,NA,""
"11756","9/13/2016 13:51","0-2571722","UNLIMITED-TRACK",33.96893,-125.44901,NA,""
"11775","9/13/2016 13:27","0-2573523","UNLIMITED-TRACK",33.96963,-125.45197,NA,""
"11781","9/13/2016 13:23","0-2571722","UNLIMITED-TRACK",33.9697,-125.45236,NA,""
"11805","9/13/2016 12:56","0-2573523","UNLIMITED-TRACK",33.97012,-125.45546,NA,""
"11810","9/13/2016 12:53","0-2571722","UNLIMITED-TRACK",33.97021,-125.45588,NA,""
