"","dateTime","spotID","readingType","lat","long"
"152","9/4/2016 15:27","0-2572666","UNLIMITED-TRACK",33.99318,-121.7215
"155","9/4/2016 14:56","0-2572666","UNLIMITED-TRACK",33.99487,-121.72182
"158","9/4/2016 14:27","0-2572666","UNLIMITED-TRACK",33.99615,-121.72298
"161","9/4/2016 14:00","0-2572666","UNLIMITED-TRACK",33.99741,-121.72414
"164","9/4/2016 13:27","0-2572666","UNLIMITED-TRACK",33.99917,-121.72481
"167","9/4/2016 12:59","0-2572666","UNLIMITED-TRACK",34.00056,-121.72539
"170","9/4/2016 12:27","0-2572666","UNLIMITED-TRACK",34.00166,-121.72507
"173","9/4/2016 11:59","0-2572666","UNLIMITED-TRACK",34.00257,-121.72427
"176","9/4/2016 11:45","0-2572643","UNLIMITED-TRACK",34.00324,-121.72356
"177","9/4/2016 11:27","0-2572666","UNLIMITED-TRACK",34.00447,-121.72279
"180","9/4/2016 10:59","0-2572666","UNLIMITED-TRACK",34.00687,-121.72212
"182","9/4/2016 10:50","0-2572643","UNLIMITED-TRACK",34.00766,-121.72211
"184","9/4/2016 10:29","0-2572666","UNLIMITED-TRACK",34.00983,-121.72224
"187","9/4/2016 9:59","0-2572666","UNLIMITED-TRACK",34.01297,-121.72202
"190","9/4/2016 9:29","0-2572666","UNLIMITED-TRACK",34.01628,-121.72156
"193","9/4/2016 8:59","0-2572666","UNLIMITED-TRACK",34.02015,-121.72142
"196","9/4/2016 8:28","0-2572666","UNLIMITED-TRACK",34.02438,-121.72169
"199","9/4/2016 7:58","0-2572666","UNLIMITED-TRACK",34.02824,-121.72212
"202","9/4/2016 7:28","0-2572666","UNLIMITED-TRACK",34.03226,-121.72345
"205","9/4/2016 7:00","0-2572666","UNLIMITED-TRACK",34.03633,-121.72452
"208","9/4/2016 6:29","0-2572666","UNLIMITED-TRACK",34.04046,-121.72615
"211","9/4/2016 5:59","0-2572666","UNLIMITED-TRACK",34.04398,-121.72806
"214","9/4/2016 5:31","0-2572666","UNLIMITED-TRACK",34.0469,-121.7292
"217","9/4/2016 4:59","0-2572666","UNLIMITED-TRACK",34.04983,-121.72978
"220","9/4/2016 4:31","0-2572666","UNLIMITED-TRACK",34.05239,-121.73026
"223","9/4/2016 4:00","0-2572666","UNLIMITED-TRACK",34.0551,-121.73106
"226","9/4/2016 3:30","0-2572666","UNLIMITED-TRACK",34.05716,-121.73157
"228","9/4/2016 3:24","0-2572643","UNLIMITED-TRACK",34.05736,-121.73236
"230","9/4/2016 3:02","0-2572666","UNLIMITED-TRACK",34.059,-121.73114
"232","9/4/2016 2:54","0-2572643","UNLIMITED-TRACK",34.05894,-121.7318
"234","9/4/2016 2:30","0-2572666","UNLIMITED-TRACK",34.06137,-121.72989
"236","9/4/2016 2:24","0-2572643","UNLIMITED-TRACK",34.06151,-121.72983
"238","9/4/2016 2:01","0-2572666","UNLIMITED-TRACK",34.06322,-121.72905
"240","9/4/2016 1:54","0-2572643","UNLIMITED-TRACK",34.06334,-121.72929
"242","9/4/2016 1:32","0-2572666","UNLIMITED-TRACK",34.06536,-121.72798
"243","9/4/2016 1:24","0-2572643","UNLIMITED-TRACK",34.06583,-121.72869
"246","9/4/2016 1:01","0-2572666","UNLIMITED-TRACK",34.06779,-121.72705
"247","9/4/2016 0:54","0-2572643","UNLIMITED-TRACK",34.0683,-121.72708
"250","9/4/2016 0:30","0-2572666","UNLIMITED-TRACK",34.07017,-121.72607
"253","9/4/2016 0:02","0-2572666","UNLIMITED-TRACK",34.07246,-121.72487
"255","9/3/2016 23:54","0-2572643","UNLIMITED-TRACK",34.07148,-121.72579
"257","9/3/2016 23:30","0-2572666","UNLIMITED-TRACK",34.07524,-121.7233
"259","9/3/2016 23:24","0-2572643","UNLIMITED-TRACK",34.07584,-121.72292
"261","9/3/2016 23:01","0-2572666","UNLIMITED-TRACK",34.07848,-121.72185
"264","9/3/2016 22:33","0-2572666","UNLIMITED-TRACK",34.08103,-121.72076
