"","dateTime","spotID","readingType","lat","long","NA","NA"
"3907","9/21/2016 16:01","0-2404008","UNLIMITED-TRACK",36.51007,-124.621,NA,""
"3917","9/21/2016 15:31","0-2404008","UNLIMITED-TRACK",36.50936,-124.62459,NA,""
"3922","9/21/2016 15:19","0-2573570","UNLIMITED-TRACK",36.50891,-124.6257,NA,""
"3928","9/21/2016 15:02","0-2404008","UNLIMITED-TRACK",36.5079,-124.62755,NA,""
"3935","9/21/2016 14:46","0-2573570","UNLIMITED-TRACK",36.50691,-124.62848,NA,""
"3941","9/21/2016 14:31","0-2404008","UNLIMITED-TRACK",36.50601,-124.62897,NA,""
"3947","9/21/2016 14:17","0-2573570","UNLIMITED-TRACK",36.50527,-124.62932,NA,""
"3952","9/21/2016 14:02","0-2404008","UNLIMITED-TRACK",36.50459,-124.62965,NA,""
"3958","9/21/2016 13:49","0-2573570","UNLIMITED-TRACK",36.50415,-124.63011,NA,""
"3964","9/21/2016 13:31","0-2404008","UNLIMITED-TRACK",36.50366,-124.63069,NA,""
"3971","9/21/2016 13:16","0-2573570","UNLIMITED-TRACK",36.50343,-124.63107,NA,""
"3976","9/21/2016 13:02","0-2404008","UNLIMITED-TRACK",36.50319,-124.63123,NA,""
"3982","9/21/2016 12:50","0-2573570","UNLIMITED-TRACK",36.50296,-124.63127,NA,""
"3987","9/21/2016 12:32","0-2404008","UNLIMITED-TRACK",36.5027,-124.63138,NA,""
"3993","9/21/2016 12:20","0-2573570","UNLIMITED-TRACK",36.50322,-124.63191,NA,""
"3998","9/21/2016 12:02","0-2404008","UNLIMITED-TRACK",36.50286,-124.63211,NA,""
"4003","9/21/2016 11:50","0-2573570","UNLIMITED-TRACK",36.50309,-124.63268,NA,""
"4009","9/21/2016 11:32","0-2404008","UNLIMITED-TRACK",36.50325,-124.63333,NA,""
"4012","9/21/2016 11:19","0-2573570","UNLIMITED-TRACK",36.50344,-124.63376,NA,""
"4018","9/21/2016 11:03","0-2404008","UNLIMITED-TRACK",36.50376,-124.63406,NA,""
"4024","9/21/2016 10:50","0-2573570","UNLIMITED-TRACK",36.50402,-124.63428,NA,""
