"","dateTime","spotID","readingType","lat","long","NA","NA"
"1792","9/25/2016 20:42","0-2574327","UNLIMITED-TRACK",34.10227,-120.85547,NA,""
"1806","9/25/2016 20:12","0-2574327","UNLIMITED-TRACK",34.1039,-120.85616,NA,""
"1822","9/25/2016 19:42","0-2574327","UNLIMITED-TRACK",34.10571,-120.85764,NA,""
"1838","9/25/2016 19:13","0-2574327","UNLIMITED-TRACK",34.1074,-120.85963,NA,""
"1852","9/25/2016 18:43","0-2574327","UNLIMITED-TRACK",34.1088,-120.86267,NA,""
"1869","9/25/2016 18:13","0-2574327","UNLIMITED-TRACK",34.10944,-120.86679,NA,""
"1883","9/25/2016 17:43","0-2574327","UNLIMITED-TRACK",34.10962,-120.87141,NA,""
"1900","9/25/2016 17:14","0-2574327","UNLIMITED-TRACK",34.10941,-120.8763,NA,""
"1918","9/25/2016 16:43","0-2574327","UNLIMITED-TRACK",34.10881,-120.88135,NA,""
"1934","9/25/2016 16:14","0-2574327","UNLIMITED-TRACK",34.10815,-120.88562,NA,""
"1951","9/25/2016 15:43","0-2574327","UNLIMITED-TRACK",34.1072,-120.88954,NA,""
"1966","9/25/2016 15:14","0-2574327","UNLIMITED-TRACK",34.10639,-120.89304,NA,""
"1981","9/25/2016 14:43","0-2574327","UNLIMITED-TRACK",34.10546,-120.8963,NA,""
"1997","9/25/2016 14:14","0-2574327","UNLIMITED-TRACK",34.10434,-120.89975,NA,""
"2013","9/25/2016 13:43","0-2574327","UNLIMITED-TRACK",34.10308,-120.90359,NA,""
"2028","9/25/2016 13:14","0-2574327","UNLIMITED-TRACK",34.10185,-120.90688,NA,""
"2045","9/25/2016 12:44","0-2574327","UNLIMITED-TRACK",34.10047,-120.90988,NA,""
"2060","9/25/2016 12:14","0-2574327","UNLIMITED-TRACK",34.09893,-120.91266,NA,""
"2076","9/25/2016 11:44","0-2574327","UNLIMITED-TRACK",34.09776,-120.9153,NA,""
"2090","9/25/2016 11:15","0-2574327","UNLIMITED-TRACK",34.0965,-120.91763,NA,""
"2106","9/25/2016 10:44","0-2574327","UNLIMITED-TRACK",34.09508,-120.92059,NA,""
"2120","9/25/2016 10:16","0-2574327","UNLIMITED-TRACK",34.09381,-120.9236,NA,""
"2135","9/25/2016 09:45","0-2574327","UNLIMITED-TRACK",34.09241,-120.92683,NA,""
"2150","9/25/2016 09:16","0-2574327","UNLIMITED-TRACK",34.09087,-120.93048,NA,""
"2164","9/25/2016 08:45","0-2574327","UNLIMITED-TRACK",34.08935,-120.93445,NA,""
"2178","9/25/2016 08:15","0-2574327","UNLIMITED-TRACK",34.0873,-120.93817,NA,""
"2193","9/25/2016 07:46","0-2574327","UNLIMITED-TRACK",34.08529,-120.9416,NA,""
"2208","9/25/2016 07:16","0-2574327","UNLIMITED-TRACK",34.08385,-120.94438,NA,""
"2223","9/25/2016 06:45","0-2574327","UNLIMITED-TRACK",34.0826,-120.94753,NA,""
"2237","9/25/2016 06:17","0-2574327","UNLIMITED-TRACK",34.08145,-120.94995,NA,""
"2253","9/25/2016 05:46","0-2574327","UNLIMITED-TRACK",34.08018,-120.95224,NA,""
