"","dateTime","spotID","readingType","lat","long"
"494","9/2/2016 9:44","0-2571525","UNLIMITED-TRACK",38.08103,-124.02374
"495","9/2/2016 9:43","0-2571518","STOP",38.08249,-124.02614
"499","9/2/2016 9:18","0-2571525","UNLIMITED-TRACK",38.08465,-124.03339
"501","9/2/2016 9:13","0-2571518","STOP",38.08481,-124.03326
"504","9/2/2016 8:44","0-2571525","UNLIMITED-TRACK",38.08596,-124.03262
"505","9/2/2016 8:41","0-2571518","UNLIMITED-TRACK",38.0861,-124.03258
"509","9/2/2016 8:14","0-2571525","UNLIMITED-TRACK",38.08712,-124.03219
"510","9/2/2016 8:13","0-2571518","UNLIMITED-TRACK",38.08733,-124.03201
"514","9/2/2016 7:44","0-2571525","UNLIMITED-TRACK",38.08836,-124.03107
"515","9/2/2016 7:42","0-2571518","UNLIMITED-TRACK",38.08874,-124.03093
"519","9/2/2016 7:15","0-2571525","UNLIMITED-TRACK",38.09045,-124.02911
"521","9/2/2016 7:12","0-2571518","UNLIMITED-TRACK",38.09068,-124.02893
"524","9/2/2016 6:44","0-2571525","UNLIMITED-TRACK",38.09272,-124.02698
"525","9/2/2016 6:42","0-2571518","UNLIMITED-TRACK",38.09283,-124.02678
"529","9/2/2016 6:14","0-2571525","UNLIMITED-TRACK",38.09448,-124.02466
"531","9/2/2016 6:13","0-2571518","UNLIMITED-TRACK",38.09475,-124.0244
"534","9/2/2016 5:46","0-2571525","UNLIMITED-TRACK",38.09655,-124.02266
"535","9/2/2016 5:44","0-2571518","UNLIMITED-TRACK",38.09667,-124.02249
"540","9/2/2016 5:16","0-2571525","UNLIMITED-TRACK",38.09878,-124.0194
"541","9/2/2016 5:13","0-2571518","UNLIMITED-TRACK",38.09888,-124.01918
"546","9/2/2016 4:48","0-2571525","UNLIMITED-TRACK",38.10125,-124.0164
"547","9/2/2016 4:42","0-2571518","UNLIMITED-TRACK",38.10179,-124.01584
"552","9/2/2016 4:14","0-2571518","UNLIMITED-TRACK",38.10455,-124.01292
"556","9/2/2016 3:45","0-2571525","UNLIMITED-TRACK",38.10738,-124.00928
"557","9/2/2016 3:43","0-2571518","UNLIMITED-TRACK",38.10758,-124.00902
"562","9/2/2016 3:15","0-2571525","UNLIMITED-TRACK",38.11021,-124.0055
"563","9/2/2016 3:14","0-2571518","UNLIMITED-TRACK",38.11077,-124.00494
"565","9/2/2016 2:49","0-2571525","UNLIMITED-TRACK",38.11356,-124.00153
"567","9/2/2016 2:43","0-2571518","UNLIMITED-TRACK",38.1146,-124.00079
"570","9/2/2016 2:15","0-2571518","UNLIMITED-TRACK",38.11803,-123.99704
"571","9/2/2016 2:15","0-2571525","UNLIMITED-TRACK",38.11803,-123.99704
"575","9/2/2016 1:45","0-2571525","UNLIMITED-TRACK",38.12206,-123.99395
"576","9/2/2016 1:44","0-2571518","UNLIMITED-TRACK",38.12226,-123.99376
"579","9/2/2016 1:15","0-2571525","UNLIMITED-TRACK",38.12588,-123.99155
"580","9/2/2016 1:14","0-2571518","UNLIMITED-TRACK",38.12625,-123.99127
"584","9/2/2016 0:45","0-2571525","UNLIMITED-TRACK",38.12994,-123.98863
"585","9/2/2016 0:44","0-2571518","UNLIMITED-TRACK",38.13006,-123.98857
"589","9/2/2016 0:15","0-2571518","UNLIMITED-TRACK",38.13361,-123.9864
"593","9/1/2016 23:49","0-2571525","UNLIMITED-TRACK",38.13642,-123.98503
"594","9/1/2016 23:44","0-2571518","UNLIMITED-TRACK",38.13714,-123.98479
"598","9/1/2016 23:15","0-2571518","UNLIMITED-TRACK",38.14043,-123.98332
"602","9/1/2016 22:49","0-2571525","UNLIMITED-TRACK",38.14007,-123.98469
"603","9/1/2016 22:45","0-2571518","UNLIMITED-TRACK",38.14454,-123.98196
"606","9/1/2016 22:16","0-2571518","UNLIMITED-TRACK",38.14846,-123.98073
"611","9/1/2016 21:45","0-2571525","UNLIMITED-TRACK",38.1524,-123.97968
"612","9/1/2016 21:45","0-2571518","UNLIMITED-TRACK",38.15245,-123.97966
"615","9/1/2016 21:19","0-2571525","UNLIMITED-TRACK",38.15607,-123.97934
"617","9/1/2016 21:16","0-2571518","UNLIMITED-TRACK",38.15647,-123.97929
"620","9/1/2016 20:49","0-2571525","UNLIMITED-TRACK",38.16006,-123.97865
"622","9/1/2016 20:45","0-2571518","UNLIMITED-TRACK",38.16068,-123.97855
"625","9/1/2016 20:19","0-2571525","UNLIMITED-TRACK",38.16478,-123.97779
"628","9/1/2016 20:16","0-2571518","UNLIMITED-TRACK",38.16487,-123.97769
"632","9/1/2016 19:45","0-2571518","UNLIMITED-TRACK",38.16933,-123.97679
"635","9/1/2016 19:19","0-2571525","UNLIMITED-TRACK",38.17335,-123.97548
"637","9/1/2016 19:16","0-2571518","UNLIMITED-TRACK",38.17382,-123.97537
"640","9/1/2016 18:46","0-2571518","UNLIMITED-TRACK",38.17801,-123.97418
"644","9/1/2016 18:17","0-2571518","UNLIMITED-TRACK",38.18269,-123.97354
"646","9/1/2016 18:16","0-2571525","UNLIMITED-TRACK",38.18282,-123.97353
"649","9/1/2016 17:49","0-2571525","UNLIMITED-TRACK",38.18689,-123.97273
"650","9/1/2016 17:47","0-2571518","UNLIMITED-TRACK",38.18724,-123.97269
"654","9/1/2016 17:17","0-2571518","UNLIMITED-TRACK",38.19166,-123.97183
"656","9/1/2016 17:16","0-2571525","UNLIMITED-TRACK",38.19156,-123.97179
"659","9/1/2016 16:47","0-2571525","UNLIMITED-TRACK",38.19553,-123.97041
"660","9/1/2016 16:46","0-2571518","UNLIMITED-TRACK",38.19577,-123.97035
"664","9/1/2016 16:20","0-2571525","UNLIMITED-TRACK",38.19932,-123.96867
"665","9/1/2016 16:17","0-2571518","UNLIMITED-TRACK",38.19981,-123.96841
"669","9/1/2016 15:47","0-2571525","UNLIMITED-TRACK",38.20369,-123.96586
"670","9/1/2016 15:46","0-2571518","UNLIMITED-TRACK",38.20378,-123.96577
"674","9/1/2016 15:17","0-2571518","UNLIMITED-TRACK",38.20754,-123.96346
"678","9/1/2016 14:50","0-2571525","UNLIMITED-TRACK",38.21124,-123.96063
"679","9/1/2016 14:46","0-2571518","UNLIMITED-TRACK",38.21168,-123.96028
"683","9/1/2016 14:18","0-2571518","UNLIMITED-TRACK",38.21582,-123.95663
"685","9/1/2016 14:17","0-2571525","UNLIMITED-TRACK",38.21595,-123.95651
"689","9/1/2016 13:47","0-2571525","UNLIMITED-TRACK",38.22063,-123.95273
"690","9/1/2016 13:47","0-2571518","UNLIMITED-TRACK",38.22072,-123.95265
"694","9/1/2016 13:17","0-2571518","UNLIMITED-TRACK",38.22541,-123.94911
"696","9/1/2016 13:17","0-2571525","UNLIMITED-TRACK",38.22496,-123.94964
"701","9/1/2016 12:47","0-2571525","UNLIMITED-TRACK",38.23014,-123.9465
"702","9/1/2016 12:47","0-2571518","UNLIMITED-TRACK",38.23022,-123.9464
"705","9/1/2016 12:19","0-2571518","UNLIMITED-TRACK",38.23456,-123.94438
"707","9/1/2016 12:17","0-2571525","UNLIMITED-TRACK",38.23481,-123.94432
"711","9/1/2016 11:47","0-2571518","UNLIMITED-TRACK",38.2397,-123.94185
"714","9/1/2016 11:20","0-2571525","UNLIMITED-TRACK",38.24395,-123.9402
