"","dateTime","spotID","readingType","lat","long","NA","NA"
"4448","9/20/2016 16:55","0-2574328","UNLIMITED-TRACK",39.43269,-127.61221,NA,""
"4456","9/20/2016 16:37","0-2572526","STOP",39.43434,-127.60832,NA,""
"4462","9/20/2016 16:25","0-2574328","UNLIMITED-TRACK",39.43592,-127.60452,NA,""
"4471","9/20/2016 16:07","0-2572526","UNLIMITED-TRACK",39.43793,-127.59993,NA,""
"4477","9/20/2016 15:54","0-2574328","UNLIMITED-TRACK",39.43934,-127.59637,NA,""
"4486","9/20/2016 15:37","0-2572526","UNLIMITED-TRACK",39.44119,-127.59263,NA,""
"4492","9/20/2016 15:26","0-2574328","UNLIMITED-TRACK",39.4431,-127.58936,NA,""
"4499","9/20/2016 15:07","0-2572526","UNLIMITED-TRACK",39.44544,-127.58602,NA,""
"4507","9/20/2016 14:54","0-2574328","UNLIMITED-TRACK",39.44781,-127.58342,NA,""
"4519","9/20/2016 14:25","0-2574328","UNLIMITED-TRACK",39.45253,-127.57957,NA,""
"4527","9/20/2016 14:10","0-2572526","UNLIMITED-TRACK",39.45517,-127.57817,NA,""
"4535","9/20/2016 13:55","0-2574328","UNLIMITED-TRACK",39.45762,-127.57716,NA,""
"4540","9/20/2016 13:41","0-2572526","UNLIMITED-TRACK",39.45951,-127.57663,NA,""
"4549","9/20/2016 13:26","0-2574328","UNLIMITED-TRACK",39.46158,-127.57611,NA,""
"4554","9/20/2016 13:10","0-2572526","UNLIMITED-TRACK",39.46345,-127.57577,NA,""
"4562","9/20/2016 12:55","0-2574328","UNLIMITED-TRACK",39.4648,-127.57561,NA,""
"4569","9/20/2016 12:39","0-2572526","UNLIMITED-TRACK",39.46614,-127.57545,NA,""
"4575","9/20/2016 12:25","0-2574328","UNLIMITED-TRACK",39.46709,-127.57535,NA,""
"4581","9/20/2016 12:11","0-2572526","UNLIMITED-TRACK",39.46796,-127.5751,NA,""
"4588","9/20/2016 11:55","0-2574328","UNLIMITED-TRACK",39.46846,-127.57501,NA,""
"4594","9/20/2016 11:39","0-2572526","UNLIMITED-TRACK",39.46901,-127.575,NA,""
"4600","9/20/2016 11:26","0-2574328","UNLIMITED-TRACK",39.46921,-127.57388,NA,""
"4606","9/20/2016 11:09","0-2572526","UNLIMITED-TRACK",39.46899,-127.5751,NA,""
"4614","9/20/2016 10:57","0-2574328","UNLIMITED-TRACK",39.46874,-127.575,NA,""
"4619","9/20/2016 10:43","0-2572526","UNLIMITED-TRACK",39.46833,-127.57498,NA,""
"4627","9/20/2016 10:26","0-2574328","UNLIMITED-TRACK",39.46763,-127.57489,NA,""
"4639","9/20/2016 09:58","0-2574328","UNLIMITED-TRACK",39.46584,-127.57452,NA,""
"4646","9/20/2016 09:39","0-2572526","UNLIMITED-TRACK",39.46435,-127.57384,NA,""
"4654","9/20/2016 09:29","0-2574328","UNLIMITED-TRACK",39.46338,-127.57326,NA,""
"4662","9/20/2016 09:09","0-2572526","UNLIMITED-TRACK",39.46199,-127.57221,NA,""
"4667","9/20/2016 08:59","0-2574328","UNLIMITED-TRACK",39.46075,-127.57098,NA,""
"4674","9/20/2016 08:39","0-2572526","UNLIMITED-TRACK",39.45933,-127.56921,NA,""
"4681","9/20/2016 08:28","0-2574328","UNLIMITED-TRACK",39.45789,-127.56685,NA,""
"4688","9/20/2016 08:10","0-2572526","UNLIMITED-TRACK",39.45634,-127.56412,NA,""
"4695","9/20/2016 07:57","0-2574328","UNLIMITED-TRACK",39.45518,-127.56215,NA,""
"4708","9/20/2016 07:29","0-2574328","UNLIMITED-TRACK",39.45267,-127.5565,NA,""
"4723","9/20/2016 06:57","0-2574328","UNLIMITED-TRACK",39.45006,-127.54933,NA,""
"4735","9/20/2016 06:29","0-2574328","UNLIMITED-TRACK",39.44896,-127.54156,NA,""
"4747","9/20/2016 05:58","0-2574328","UNLIMITED-TRACK",39.44931,-127.53215,NA,""
"4760","9/20/2016 05:29","0-2574328","UNLIMITED-TRACK",39.45094,-127.52277,NA,""
"4772","9/20/2016 04:58","0-2574328","UNLIMITED-TRACK",39.453,-127.51315,NA,""
"4787","9/20/2016 04:28","0-2574328","UNLIMITED-TRACK",39.45605,-127.50374,NA,""
"4791","9/20/2016 04:14","0-2572526","UNLIMITED-TRACK",39.45785,-127.49947,NA,""
"4799","9/20/2016 04:00","0-2574328","UNLIMITED-TRACK",39.45994,-127.49507,NA,""
"4812","9/20/2016 03:28","0-2574328","UNLIMITED-TRACK",39.46473,-127.48537,NA,""
"4826","9/20/2016 02:59","0-2574328","UNLIMITED-TRACK",39.4703,-127.47812,NA,""
"4832","9/20/2016 02:44","0-2572526","UNLIMITED-TRACK",39.47311,-127.47469,NA,""
"4840","9/20/2016 02:31","0-2574328","UNLIMITED-TRACK",39.47585,-127.47156,NA,""
"4847","9/20/2016 02:16","0-2572526","UNLIMITED-TRACK",39.47913,-127.46838,NA,""
"4856","9/20/2016 01:59","0-2574328","UNLIMITED-TRACK",39.48296,-127.46512,NA,""
"4863","9/20/2016 01:43","0-2572526","UNLIMITED-TRACK",39.4866,-127.46228,NA,""
"4871","9/20/2016 01:29","0-2574328","UNLIMITED-TRACK",39.48975,-127.46042,NA,""
"4877","9/20/2016 01:15","0-2572526","UNLIMITED-TRACK",39.49301,-127.45879,NA,""
"4885","9/20/2016 01:01","0-2574328","UNLIMITED-TRACK",39.49623,-127.45758,NA,""
"4893","9/20/2016 00:43","0-2572526","UNLIMITED-TRACK",39.50051,-127.45636,NA,""
"4900","9/20/2016 00:29","0-2574328","UNLIMITED-TRACK",39.50346,-127.45573,NA,""
"4907","9/20/2016 00:13","0-2572526","UNLIMITED-TRACK",39.50684,-127.45526,NA,""
"4914","9/20/2016 00:01","0-2574328","UNLIMITED-TRACK",39.50932,-127.45497,NA,""
"4939","9/20/2016 16:55","0-2574328","UNLIMITED-TRACK",39.43269,-127.61221,NA,""
"4947","9/20/2016 16:37","0-2572526","STOP",39.43434,-127.60832,NA,""
"4953","9/20/2016 16:25","0-2574328","UNLIMITED-TRACK",39.43592,-127.60452,NA,""
"4962","9/20/2016 16:07","0-2572526","UNLIMITED-TRACK",39.43793,-127.59993,NA,""
"4968","9/20/2016 15:54","0-2574328","UNLIMITED-TRACK",39.43934,-127.59637,NA,""
"4977","9/20/2016 15:37","0-2572526","UNLIMITED-TRACK",39.44119,-127.59263,NA,""
"4983","9/20/2016 15:26","0-2574328","UNLIMITED-TRACK",39.4431,-127.58936,NA,""
"4990","9/20/2016 15:07","0-2572526","UNLIMITED-TRACK",39.44544,-127.58602,NA,""
"4998","9/20/2016 14:54","0-2574328","UNLIMITED-TRACK",39.44781,-127.58342,NA,""
"5010","9/20/2016 14:25","0-2574328","UNLIMITED-TRACK",39.45253,-127.57957,NA,""
"5018","9/20/2016 14:10","0-2572526","UNLIMITED-TRACK",39.45517,-127.57817,NA,""
"5026","9/20/2016 13:55","0-2574328","UNLIMITED-TRACK",39.45762,-127.57716,NA,""
"5031","9/20/2016 13:41","0-2572526","UNLIMITED-TRACK",39.45951,-127.57663,NA,""
"5040","9/20/2016 13:26","0-2574328","UNLIMITED-TRACK",39.46158,-127.57611,NA,""
"5045","9/20/2016 13:10","0-2572526","UNLIMITED-TRACK",39.46345,-127.57577,NA,""
"5053","9/20/2016 12:55","0-2574328","UNLIMITED-TRACK",39.4648,-127.57561,NA,""
